Column1,name,dist,year,jewish_pop,total_pop,name_heb,dist_heb
979,Barysz,Buchach District,1910,196,4876,באריש,נפת בוצ'אץ'
719,Dębica,Powiat Ropczyce,1910,2119,4871,דֶמְבִּיצָה,נפת רופצ'יצה
872,Łańcut,Napt Lancut,1900,1940,4850,לַאנְצוּט,נפת לנצוט
1183,Halicz,Stanislavov,1900,1568,4850,האליץ',נפת סטאניסלאבוב
661,Błażowa,Rzeszów,1900,631,4848,בְּלַאז'וֹבָה,ז'שוב
214,Żychlin,Powiat Kutno,1897,2268,4840,ז'יחלין,נפת קוטנו
1256,Żółkiew,Zolkiew district,1772,2027,4839,ז'ולקייב,נפת ז'ולקייב
1251,Zborów,,1900,2084,4829,זבורוב,נפת זבורוב
1415,Lubaczów,Lubaczów,1890,1721,4814,לובאצ'וב,נפת לובאצ'וב
1551,Sądowa Wisznia,,1910,1164,4790,סונדובה וישניה,נפת מושצ'יסקה
999,Bohorodczany,Stanislavov District,1890,2505,4781,בוהורודצ'אני,נפת סטאניסלאבוב
394,Piotrków Trybunalski,Piotrków,1827,2133,4779,פיוטרקוב טריבונאלסקי,פיעטריקאוו
1473,Mościska,Mościska,1910,2574,4778,מושצ'יסקה,מושצ'יסקה
241,Turek,Powiat Turek,1857,653,4773,טורֶק,נפת טורק
1232,Założce,Zborów,1921,524,4773,זאלוז'צה,נפת זבורוב
1060,Borszczów,,1910,1263,4765,בורשצ'וב,נפת בורשצ'וב
660,Błażowa,Rzeszów,1890,942,4760,בְּלַאז'וֹבָה,ז'שוב
1223,Zablotów,Snyatyn,1910,2171,4758,זאבלוטוב,נפת שניאטין
1474,Mościska,Mościska,1921,2328,4751,מושצ'יסקה,מושצ'יסקה
194,Wieruszów,,1921,1903,4749,ויירושוב,נפת ויילון
980,Barysz,Buchach District,1921,229,4747,באריש,נפת בוצ'אץ'
1001,Bohorodczany,Stanislavov District,1910,1930,4738,בוהורודצ'אני,נפת סטאניסלאבוב
1550,Sądowa Wisznia,,1900,1328,4735,סונדובה וישניה,נפת מושצ'יסקה
1345,Tłumacz,,1890,2014,4713,טלומאץ',נפת טלומאץ'
1410,Jezierna,Tarnopol,1880,955,4713,ייז'יירנה,מחוז טארנופול
907,Mielec,,1890,2596,4712,מיילץ,נפת מיילץ
1000,Bohorodczany,Stanislavov District,1900,2219,4706,בוהורודצ'אני,נפת סטאניסלאבוב
585,Ustroń,Bielsko,1900,110,4688,אוסְטְרוֹן,נפת ביילסקו
1472,Mościska,Mościska,1900,2548,4676,מושצ'יסקה,מושצ'יסקה
1475,Mościska,Mościska,1931,2330,4676,מושצ'יסקה,מושצ'יסקה
938,Uhnow,Rawaruska,1890,2120,4675,אוהנוב,נפת ראווה רוסקה
935,Obertyn,Horodenka,1921,1131,4671,אוֹברטין,נפת הורודנקה
1520,Niżniów,Tłumacz,1921,451,4654,ניז'ניוב,נפת טלומאץ'
316,Sulejów,Silew,1897,1881,4636,סולייוב,סילעוו
1330,Turka,Turka,1880,2368,4634,טורקה,נפת טורקה
1016,Bołszowce,Rohatyn,1910,2438,4629,בולשובצה,רוהאטין
1459,Monasterzyska,,1900,2460,4624,מונאסטז'יסקה,נפת בוצ'אץ'
466,Kutno,,1827,2859,4620,קוטנו,נפת קוטנו
411,Pyzdry,,1921,406,4614,פייזער,נפת קונין
1130,Gliniany,Przemyślany,1890,2088,4614,גליניאני,פשמישלאני
475,Kolo,,1857,2318,4610,קולו,נפת קולו
1059,Borszczów,,1900,1341,4590,בורשצ'וב,נפת בורשצ'וב
703,Dukla,Krosno,1910,2805,4588,דוּקְלָה,קרוסנו
1443,Lesko,Lesko,1910,2805,4588,לסקו,נפת לסקו
535,Rawa Mazowiecka,,1857,1547,4567,ראווה מאזובייצקה,נפת ראווה מאזובייצקה
1594,Stary Sambor,,1900,1741,4560,סטארי סאמבור,נפת סאמבור
995,Budzanów,Buzanów,1921,1156,4548,בודזאנוב,ביזינעוו
839,Jasło,,1890,934,4527,יָאסְלוֹ,נפת יאסלו
874,Łańcut,Napt Lancut,1921,1925,4518,לַאנְצוּט,נפת לנצוט
1165,Delatyn,Nadvirna,1880,1577,4495,דלאטין,נפת נאדבורנה
939,Uhnow,Rawaruska,1900,2140,4487,אוהנוב,נפת ראווה רוסקה
871,Łańcut,Napt Lancut,1890,1669,4486,לַאנְצוּט,נפת לנצוט
426,Praszka,Wieluń,1921,1663,4478,פראשקה,נפת ויילון
1121,Grzymałów,Skalat,1890,2977,4472,גז'ימאלוב,נפת סקאלאט
1466,Mosty Wielkie,Zhovkva,1900,1611,4454,מוֹסטי ויילקיה,נפת ז'ולקייב
659,Błażowa,Rzeszów,1880,893,4449,בְּלַאז'וֹבָה,ז'שוב
946,Ottynia,Tlumach,1921,1728,4445,אוטיניה,נפת טלומאץ'
1034,Buczacz,Powiat Buczacz,1931,4439,4439,בוצ'אץ,נפת בוצ'אץ
627,Brzozów,Brzozów,1910,1255,4438,בְּז'וזוב,בז'וזוב
1052,Bursztyn,Rohatyn,1900,2005,4438,בורשטין,נפת רוהאטין
1414,Lubaczów,Lubaczów,1880,1503,4425,לובאצ'וב,נפת לובאצ'וב
998,Bohorodczany,Stanislavov District,1880,2202,4423,בוהורודצ'אני,נפת סטאניסלאבוב
1327,Toporów,Radziechów,1900,1400,4421,טופורוב,ראדז'ייחוב
978,Barysz,Buchach District,1900,240,4420,באריש,נפת בוצ'אץ'
1465,Mosty Wielkie,Zhovkva,1890,1426,4414,מוֹסטי ויילקיה,נפת ז'ולקייב
1442,Lesko,Lesko,1900,2701,4409,לסקו,נפת לסקו
584,Ustroń,Bielsko,1890,98,4405,אוסְטְרוֹן,נפת ביילסקו
1458,Monasterzyska,,1890,2450,4400,מונאסטז'יסקה,נפת בוצ'אץ'
988,Bóbrka,Bóbrka district,1921,1480,4391,בוברקה,נפת בוברקה
193,Wieruszów,,1897,1587,4374,ויירושוב,נפת ויילון
369,Pabianice,Lask,1857,751,4365,פאביאניצה,לאסק
594,Andrychów,Wadowice,1910,501,4361,אַנְדְרִיחוב,נפת ואדוביצה
1133,Gliniany,Przemyślany,1921,1679,4355,גליניאני,פשמישלאני
566,Szczerców,,1921,1513,4350,שצ'רצוב,נפת לאסק
984,Bóbrka,Bóbrka district,1880,2007,4348,בוברקה,נפת בוברקה
1549,Sądowa Wisznia,,1890,1309,4334,סונדובה וישניה,נפת מושצ'יסקה
1058,Borszczów,,1890,1808,4331,בורשצ'וב,נפת בורשצ'וב
1120,Grzymałów,Skalat,1880,2931,4329,גז'ימאלוב,נפת סקאלאט
1290,Chodorów,Bobrka,1910,1867,4329,חודורוב,נפת בוברקה
1471,Mościska,Mościska,1890,2230,4314,מושצ'יסקה,מושצ'יסקה
1596,Stary Sambor,,1921,1534,4314,סטארי סאמבור,נפת סאמבור
1129,Gliniany,Przemyślany,1880,1926,4300,גליניאני,פשמישלאני
766,Żywiec,"Napt Żywiec, Mchuz Kraków",1880,9,4296,ז'יווייץ,"נפת ז'יווייץ, מחוז קראקוב"
937,Uhnow,Rawaruska,1880,1842,4277,אוהנוב,נפת ראווה רוסקה
586,Ustroń,Bielsko,1910,107,4275,אוסְטְרוֹן,נפת ביילסקו
430,Przedbórz,Koneckie,1857,3154,4268,פשדבוז',נפת קונסקיה
626,Brzozów,Brzozów,1900,1143,4264,בְּז'וזוב,בז'וזוב
629,Brzozów,Brzozów,1931,1046,4248,בְּז'וזוב,בז'וזוב
940,Uhnow,Rawaruska,1910,2154,4239,אוהנוב,נפת ראווה רוסקה
1008,Bolechów,,1890,3323,4237,בולחוב,נפת דולינה
1222,Zablotów,Snyatyn,1900,2092,4232,זאבלוטוב,נפת שניאטין
263,Lask,Lask,1897,2862,4229,לאסק,נפת לאסק
1051,Bursztyn,Rohatyn,1890,2179,4209,בורשטין,נפת רוהאטין
1552,Sądowa Wisznia,,1921,1039,4207,סונדובה וישניה,נפת מושצ'יסקה
1291,Chodorów,Bobrka,1921,1230,4206,חודורוב,נפת בוברקה
1007,Bolechów,,1880,3101,4181,בולחוב,נפת דולינה
1470,Mościska,Mościska,1880,2123,4181,מושצ'יסקה,מושצ'יסקה
595,Andrychów,Wadowice,1921,409,4171,אַנְדְרִיחוב,נפת ואדוביצה
1122,Grzymałów,Skalat,1900,2700,4170,גז'ימאלוב,נפת סקאלאט
1240,Zaleszczyki,Zaleszczyki,1931,2400,4170,"זאלשצ	'יקי","זאלשצ	'יקי"
628,Brzozów,Brzozów,1921,1127,4160,בְּז'וזוב,בז'וזוב
1296,Cholojów,Kalievo,1921,793,4151,חולויוב,כאליעוו
1457,Monasterzyska,,1880,2274,4151,מונאסטז'יסקה,נפת בוצ'אץ'
1097,Belz,Sokal,1921,2104,4148,בלז,נפת סוקאל
1460,Monasterzyska,,1910,2041,4132,מונאסטז'יסקה,נפת בוצ'אץ'
338,Stryków,Łódź,1921,1998,4127,סטריקוב,נפת לודז'
1093,Belz,Sokal,1880,2135,4126,בלז,נפת סוקאל
170,Warta,,1921,2025,4108,וארטה,נפת שייראדז
51,Aleksandrów,,1827,686,4072,אלכסנדרוב,נפת לודז'
1250,Zborów,,1890,1873,4069,זבורוב,נפת זבורוב
691,Dąbrowa Tarnowska,,1830,978,4060,דוֹמְבְּרוֹבָה טַארְנוֹבְסְקָה,דומברובה
625,Brzozów,Brzozów,1890,907,4056,בְּז'וזוב,בז'וזוב
592,Andrychów,Wadowice,1890,654,4054,אַנְדְרִיחוב,נפת ואדוביצה
1221,Zablotów,Snyatyn,1890,2009,4054,זאבלוטוב,נפת שניאטין
1344,Tłumacz,,1880,1756,4054,טלומאץ',נפת טלומאץ'
955,Olesko,Złoczów,1910,832,4052,אולסקו,נפת זלוצ'וב
593,Andrychów,Wadowice,1900,621,4047,אַנְדְרִיחוב,נפת ואדוביצה
1441,Lesko,Lesko,1890,2425,4020,לסקו,נפת לסקו
1629,Skała,Borshchiv Raion,1921,1555,4017,סקאלה,נפת בורשצ'וב
1239,Zaleszczyki,Zaleszczyki,1921,2485,4014,"זאלשצ	'יקי","זאלשצ	'יקי"
226,Tomaszów Mazowiecki,Powiat Tomaszów Mazowiecki,1830,0,4000,טומאשוב מאזובייצקי,נפת טומאשוב מאזובייצקי
1006,Bolechów,,1870,2900,4000,בולחוב,נפת דולינה
1276,Żydaczów,Żydaczów,1931,903,4000,ז'ידאצ'וב,נפת ז'ידאצ'וב
587,Ustroń,Bielsko,1921,125,3998,אוסְטְרוֹן,נפת ביילסקו
96,Blaszki,Kalisz,1897,2320,3995,בלאשקי,נפת קאליש
294,Łęczyca,Powiat Łęczyca,1827,1797,3993,לנצ'יצה,נפת לנצ'יצה
718,Dębica,Powiat Ropczyce,1900,2205,3991,דֶמְבִּיצָה,נפת רופצ'יצה
1057,Borszczów,,1880,1307,3988,בורשצ'וב,נפת בורשצ'וב
161,Działoszyn,Wieluń,1921,1430,3985,דז'יאלושין,ויילון
861,Jodłowa,Jasło,1900,290,3975,יוֹדְלוֹבָה,נפת יאסלו
392,Piotrków Trybunalski,Piotrków,1765,780,3967,פיוטרקוב טריבונאלסקי,פיעטריקאוו
393,Piotrków Trybunalski,Piotrków,1808,1817,3967,פיוטרקוב טריבונאלסקי,פיעטריקאוו
1128,Gliniany,Przemyślany,1870,1751,3965,גליניאני,פשמישלאני
1295,Cholojów,Kalievo,1900,1139,3965,חולויוב,כאליעוו
1009,Bolechów,,1910,3085,3958,בולחוב,נפת דולינה
1593,Stary Sambor,,1890,1613,3958,סטארי סאמבור,נפת סאמבור
1050,Bursztyn,Rohatyn,1880,2017,3953,בורשטין,נפת רוהאטין
1015,Bołszowce,Rohatyn,1900,2256,3938,בולשובצה,רוהאטין
1123,Grzymałów,Skalat,1910,2435,3930,גז'ימאלוב,נפת סקאלאט
720,Dębica,Powiat Ropczyce,1921,1564,3922,דֶמְבִּיצָה,נפת רופצ'יצה
689,Dobczyce,,1921,346,3920,דוֹבְּצִ'יצֶה,נפת מישלניצה
965,Ustrzyki Dolne,Istrzyk,1910,2328,3919,אוסצ'יקי דוֹלנֶה,איסטריק
1538,Sasów,Złoczów District,1910,1612,3918,סאסוב,מחוז זלוצ'וב
977,Barysz,Buchach District,1890,243,3908,באריש,נפת בוצ'אץ'
502,Kłodawa,Kolo,1921,1148,3901,קלודאווה,נפת קולו
97,Blaszki,Kalisz,1921,2186,3896,בלאשקי,נפת קאליש
1182,Halicz,Stanislavov,1890,1238,3887,האליץ',נפת סטאניסלאבוב
1548,Sądowa Wisznia,,1880,1100,3887,סונדובה וישניה,נפת מושצ'יסקה
862,Jodłowa,Jasło,1921,301,3878,יוֹדְלוֹבָה,נפת יאסלו
1249,Zborów,,1880,2109,3878,זבורוב,נפת זבורוב
1274,Żydaczów,Żydaczów,1910,892,3873,ז'ידאצ'וב,נפת ז'ידאצ'וב
591,Andrychów,Wadowice,1880,635,3866,אַנְדְרִיחוב,נפת ואדוביצה
103,Bełchatów,Piotrków Trybunalski,1897,2987,3859,בלחאטוב,נפת פיוטרקוב טריבונאלסקי
1518,Niżniów,Tłumacz,1880,711,3859,ניז'ניוב,נפת טלומאץ'
1488,Mikulińce,Tarnopol,1890,2468,3835,מיקולינצה,טארנופול
1275,Żydaczów,Żydaczów,1921,823,3823,ז'ידאצ'וב,נפת ז'ידאצ'וב
183,Wieluń,Wieluń,1857,624,3816,ויילון,נפת ויילון
1545,Solotwina,Nadworna,1900,1948,3814,סולוטבינה,נפת נאדבורנה
1464,Mosty Wielkie,Zhovkva,1880,1061,3809,מוֹסטי ויילקיה,נפת ז'ולקייב
579,Ulanów,Nisko,1880,1947,3807,אולאנוב,ניסקו
704,Dukla,Krosno,1921,2338,3806,דוּקְלָה,קרוסנו
1444,Lesko,Lesko,1921,2338,3806,לסקו,נפת לסקו
343,Słupca,Konin,1897,751,3805,סלופצה,נפת קונין
657,Biecz,Gorlice,1910,647,3803,בייטש,נפת גורליצה
1468,Mosty Wielkie,Zhovkva,1921,1142,3795,מוֹסטי ויילקיה,נפת ז'ולקייב
1537,Sasów,Złoczów District,1900,1761,3775,סאסוב,מחוז זלוצ'וב
304,Nowe Miasto,powiat Rawski Mazowiecki,1921,1667,3761,נובה מיאסטו,נפת ראווה מאזובייצקה
1487,Mikulińce,Tarnopol,1880,2411,3750,מיקולינצה,טארנופול
323,Sompolno,,1921,1149,3747,סומפולנו,נפת קולו
1253,Zborów,,1921,1086,3730,זבורוב,נפת זבורוב
1405,Jezupol,Azipali,1900,494,3730,ייזופול,אזיפאלי
1478,Mielnica,Borshchiv,1921,1411,3730,מיילניצה,נפת בורשצ'וב
943,Ottynia,Tlumach,1765,296,3714,אוטיניה,נפת טלומאץ'
944,Ottynia,Tlumach,1880,1557,3714,אוטיניה,נפת טלומאץ'
1005,Bolechów,,1859,2700,3704,בולחוב,נפת דולינה
624,Brzozów,Brzozów,1880,756,3697,בְּז'וזוב,בז'וזוב
262,Lask,Lask,1857,2646,3693,לאסק,נפת לאסק
641,Brzesko,Bzesko,1931,2101,3675,בְּנֵסְקוֹ,נפת בז'סקו
658,Biecz,Gorlice,1921,632,3673,בייטש,נפת גורליצה
1351,Tłuste,Zaleszczyki,1900,2172,3671,טלוסטה,נפת זאלשצ'יקי
1489,Mikulińce,Tarnopol,1900,2284,3660,מיקולינצה,טארנופול
639,Brzesko,Bzesko,1910,2430,3659,בְּנֵסְקוֹ,נפת בז'סקו
1635,Uniejów,Nef Turck,1921,1100,3657,אונייוב,נפת טורק
1079,Biały Kamień,Złoczów,1900,1709,3651,ביאלי קאמיין,נפת זלוצ'וב
534,Rawa Mazowiecka,,1827,1380,3650,ראווה מאזובייצקה,נפת ראווה מאזובייצקה
956,Olesko,Złoczów,1921,636,3645,אולסקו,נפת זלוצ'וב
1151,Dobromil,Dobrdomil,1910,2271,3633,דוברומיל,נפת דובדומיל
1119,Grzymałów,Skalat,1843,1729,3626,גז'ימאלוב,נפת סקאלאט
1289,Chodorów,Bobrka,1900,1649,3618,חודורוב,נפת בוברקה
580,Ulanów,Nisko,1890,1534,3613,אולאנוב,ניסקו
1476,Mielnica,Borshchiv,1880,1429,3595,מיילניצה,נפת בורשצ'וב
1477,Mielnica,Borshchiv,1900,1200,3589,מיילניצה,נפת בורשצ'וב
1224,Zablotów,Snyatyn,1921,1454,3583,זאבלוטוב,נפת שניאטין
1054,Bursztyn,Rohatyn,1921,1431,3581,בורשטין,נפת רוהאטין
717,Dębica,Powiat Ropczyce,1890,2153,3578,דֶמְבִּיצָה,נפת רופצ'יצה
482,Konin,,1827,862,3568,קונין,נפת קונין
267,Łowicz,Powiat Łowicz,1827,405,3551,לוביץ',נפת לוביץ'
528,Radoszyce,Koneckie,1897,1728,3549,ראדושיצה,נפת קונסקיה
688,Dobczyce,,1910,404,3542,דוֹבְּצִ'יצֶה,נפת מישלניצה
581,Ulanów,Nisko,1900,1369,3533,אולאנוב,ניסקו
860,Jodłowa,Jasło,1880,262,3532,יוֹדְלוֹבָה,נפת יאסלו
1293,Cholojów,Kalievo,1717,100,3529,חולויוב,כאליעוו
1294,Cholojów,Kalievo,1880,795,3529,חולויוב,כאליעוו
1220,Zablotów,Snyatyn,1880,1730,3523,זאבלוטוב,נפת שניאטין
954,Olesko,Złoczów,1900,770,3520,אולסקו,נפת זלוצ'וב
801,Tarnobrzeg-Dzików,Tarnobrzeg,1890,2840,3517,טַארְנוֹבְּזֶ'ג־דְזִיקוּב,נפת טארנובז'ג
52,Aleksandrów,,1857,975,3515,אלכסנדרוב,נפת לודז'
1078,Biały Kamień,Złoczów,1880,1901,3511,ביאלי קאמיין,נפת זלוצ'וב
1490,Mikulińce,Tarnopol,1910,2137,3511,מיקולינצה,טארנופול
517,Krośniewice,Kotno,1921,1259,3509,קרוֹשנייוויצה,נפת קוטנו
879,Lubliniec,Lubliniec,1911,240,3500,לוּבְּלִינֶייץ,לובלינייץ
1092,Belz,Sokal,1859,1783,3494,בלז,נפת סוקאל
1640,Brzeziny,,1827,942,3492,בז'ז'יני,נפת בז'ז'יני
870,Łańcut,Napt Lancut,1880,1587,3483,לַאנְצוּט,נפת לנצוט
1592,Stary Sambor,,1880,1377,3482,סטארי סאמבור,נפת סאמבור
1014,Bołszowce,Rohatyn,1890,2658,3481,בולשובצה,רוהאטין
803,Tarnobrzeg-Dzików,Tarnobrzeg,1910,2642,3464,טַארְנוֹבְּזֶ'ג־דְזִיקוּב,נפת טארנובז'ג
1181,Halicz,Stanislavov,1880,1048,3464,האליץ',נפת סטאניסלאבוב
656,Biecz,Gorlice,1900,554,3461,בייטש,נפת גורליצה
800,Tarnobrzeg-Dzików,Tarnobrzeg,1880,2768,3460,טַארְנוֹבְּזֶ'ג־דְזִיקוּב,נפת טארנובז'ג
1326,Toporów,Radziechów,1880,1133,3460,טופורוב,ראדז'ייחוב
941,Uhnow,Rawaruska,1921,1824,3452,אוהנוב,נפת ראווה רוסקה
250,Tuszyn,Lodz,1921,1271,3451,טושין,נפת לודז'
1483,Mikołajów,Żydaczów,1910,632,3448,מיקולאיוב,ז'ידאצ'וב
638,Brzesko,Bzesko,1900,2328,3444,בְּנֵסְקוֹ,נפת בז'סקו
1185,Halicz,Stanislavov,1921,582,3442,האליץ',נפת סטאניסלאבוב
897,Maków Podhalański,Wadowice,1910,148,3439,מאקוב פּוֹדְהַאלַאנְסקי,נפת ואדוביצה
1152,Dobromil,Dobrdomil,1921,2119,3431,דוברומיל,נפת דובדומיל
964,Ustrzyki Dolne,Istrzyk,1900,2091,3424,אוסצ'יקי דוֹלנֶה,איסטריק
1328,Toporów,Radziechów,1921,689,3421,טופורוב,ראדז'ייחוב
169,Warta,,1897,1772,3418,וארטה,נפת שייראדז
1440,Lesko,Lesko,1880,1990,3415,לסקו,נפת לסקו
408,Pyzdry,,1808,1221,3412,פייזער,נפת קונין
409,Pyzdry,,1827,993,3412,פייזער,נפת קונין
687,Dobczyce,,1900,334,3393,דוֹבְּצִ'יצֶה,נפת מישלניצה
878,Lubliniec,Lubliniec,1901,215,3387,לוּבְּלִינֶייץ,לובלינייץ
1083,Bilcze Złote,Borszczów,1900,203,3374,בילצ'ה זלוטה,נפת בורשצ'וב
493,Końskie,,1827,1703,3367,קינצק,נפת קונסקיה
582,Ulanów,Nisko,1910,1465,3351,אולאנוב,ניסקו
1273,Żydaczów,Żydaczów,1900,870,3347,ז'ידאצ'וב,נפת ז'ידאצ'וב
529,Radoszyce,Koneckie,1921,1278,3344,ראדושיצה,נפת קונסקיה
802,Tarnobrzeg-Dzików,Tarnobrzeg,1900,2537,3332,טַארְנוֹבְּזֶ'ג־דְזִיקוּב,נפת טארנובז'ג
686,Dobczyce,,1890,294,3329,דוֹבְּצִ'יצֶה,נפת מישלניצה
976,Barysz,Buchach District,1880,174,3322,באריש,נפת בוצ'אץ'
1143,Dobrotwór,Kamionka Strumiłowa,1900,383,3314,דוברוטבור,קאמיונקה סטרומילובה
1150,Dobromil,Dobrdomil,1900,1845,3309,דוברומיל,נפת דובדומיל
838,Jasło,,1880,433,3302,יָאסְלוֹ,נפת יאסלו
953,Olesko,Złoczów,1890,773,3301,אולסקו,נפת זלוצ'וב
739,Żabno,,1830,309,3299,ז'אבנו,נפת דומברובה
1535,Sasów,Złoczów District,1880,1906,3282,סאסוב,מחוז זלוצ'וב
260,Lask,Lask,1808,1260,3278,לאסק,נפת לאסק
303,Nowe Miasto,powiat Rawski Mazowiecki,1897,1711,3276,נובה מיאסטו,נפת ראווה מאזובייצקה
1429,Lopatyn,Radekhiv,1910,505,3270,לופאטין,ראדז'ייחוב
716,Dębica,Powiat Ropczyce,1880,2385,3256,דֶמְבִּיצָה,נפת רופצ'יצה
637,Brzesko,Bzesko,1890,2278,3246,בְּנֵסְקוֹ,נפת בז'סקו
438,Przysucha,Opočno,1921,2153,3238,פשיסחא,נפת אופוצ'נו
1524,Niemirów,Powiat Raw Ruska,1910,1962,3238,ניימירוב,נפת ראווה־רוסקה
1149,Dobromil,Dobrdomil,1890,2035,3237,דוברומיל,נפת דובדומיל
405,Piątek,Łęczyca,1921,1291,3234,פיונטק,נפת לנצ'יצה
966,Ustrzyki Dolne,Istrzyk,1921,1768,3234,אוסצ'יקי דוֹלנֶה,איסטריק
1407,Jezierzany,,1880,1558,3233,ייז'ייז'אני,נפת בורשצ'וב
1430,Lopatyn,Radekhiv,1921,400,3232,לופאטין,ראדז'ייחוב
898,Maków Podhalański,Wadowice,1921,189,3226,מאקוב פּוֹדְהַאלַאנְסקי,נפת ואדוביצה
168,Warta,,1857,1745,3224,וארטה,נפת שייראדז
693,Dąbrowa Tarnowska,,1880,1882,3219,דוֹמְבְּרוֹבָה טַארְנוֹבְסְקָה,דומברובה
1491,Mikulińce,Tarnopol,1921,1891,3217,מיקולינצה,טארנופול
702,Dukla,Krosno,1900,2539,3213,דוּקְלָה,קרוסנו
1536,Sasów,Złoczów District,1890,1493,3210,סאסוב,מחוז זלוצ'וב
1372,Jagielnica,Chortkov,1890,1759,3201,יאגיילניצה,נפת צ'ורטקוב
1350,Tłuste,Zaleszczyki,1880,2157,3199,טלוסטה,נפת זאלשצ'יקי
1400,Jaryczów Nowy,Lviv,1910,1608,3186,יאריצ'וב נובי,נפת לבוב
1264,Żurawno,Żydaczów,1880,2197,3184,ז'וראבנו,ז'ידאצ'וב
474,Kolo,,1827,1184,3182,קולו,נפת קולו
655,Biecz,Gorlice,1890,461,3180,בייטש,נפת גורליצה
896,Maków Podhalański,Wadowice,1900,152,3172,מאקוב פּוֹדְהַאלַאנְסקי,נפת ואדוביצה
527,Radoszyce,Koneckie,1888,1336,3169,ראדושיצה,נפת קונסקיה
804,Tarnobrzeg-Dzików,Tarnobrzeg,1921,2146,3169,טַארְנוֹבְּזֶ'ג־דְזִיקוּב,נפת טארנובז'ג
1210,Wojniłów,Kalush,1921,944,3166,ווינילוב,נפת קאלוש
550,Sieradz,,1827,595,3165,שייראדז,נפת שייראדז
1449,Magierów,Rawа Ruska,1900,1322,3158,מאגיירוב,נפת ראווה רוסקה
1484,Mikołajów,Żydaczów,1921,498,3156,מיקולאיוב,ז'ידאצ'וב
1127,Gliniany,Przemyślany,1860,1286,3155,גליניאני,פשמישלאני
1010,Bolechów,,1921,2433,3150,בולחוב,נפת דולינה
952,Olesko,Złoczów,1880,724,3145,אולסקו,נפת זלוצ'וב
636,Brzesko,Bzesko,1880,1983,3144,בְּנֵסְקוֹ,נפת בז'סקו
640,Brzesko,Bzesko,1921,1935,3144,בְּנֵסְקוֹ,נפת בז'סקו
1371,Jagielnica,Chortkov,1880,1892,3143,יאגיילניצה,נפת צ'ורטקוב
820,Tyczyn,,1910,985,3139,טיצ'ין,נפת ז'שוב
819,Tyczyn,,1900,854,3135,טיצ'ין,נפת ז'שוב
425,Praszka,Wieluń,1897,1878,3131,פראשקה,נפת ויילון
1482,Mikołajów,Żydaczów,1900,454,3130,מיקולאיוב,ז'ידאצ'וב
1601,Stojanów,Rdziejów,1921,631,3129,סטויאנוב,רדז'ייחוב
390,Poddębice,Leczyca,1921,1333,3122,פּוֹדדֶמביצה,נפת לנצ'יצה
1399,Jaryczów Nowy,Lviv,1900,1554,3121,יאריצ'וב נובי,נפת לבוב
1381,Jazłowiec,Buчач,1910,1496,3117,יאזלוביץ,נפת בוצ'אץ'
1544,Solotwina,Nadworna,1880,1541,3117,סולוטבינה,נפת נאדבורנה
680,Grybów,Nowy Sącz,1910,908,3114,גריבוב,נפת נובי סונץ'
1380,Jazłowiec,Buчач,1900,1298,3109,יאזלוביץ,נפת בוצ'אץ'
1404,Jezupol,Azipali,1880,426,3104,ייזופול,אזיפאלי
1539,Sasów,Złoczów District,1921,1096,3099,סאסוב,מחוז זלוצ'וב
821,Tyczyn,,1921,957,3095,טיצ'ין,נפת ז'שוב
160,Działoszyn,Wieluń,1857,1237,3092,דז'יאלושין,ויילון
1116,Gołogóry,Złoczów,1900,1130,3083,גולוגורי,נפת זלוצ'וב
1373,Jagielnica,Chortkov,1900,1366,3083,יאגיילניצה,נפת צ'ורטקוב
753,Zakopane,Nowy Targ,1890,124,3069,זאקופאנֶה,נובי טארג
149,Dobra,Turk,1921,1207,3055,דוברה,נפת טורק
337,Stryków,Łódź,1897,1799,3053,סטריקוב,נפת לודז'
410,Pyzdry,,1857,890,3053,פייזער,נפת קונין
1306,Chyrów,Sambor,1910,1092,3042,חירוב,נפת סאמבור
1180,Halicz,Stanislavov,1870,839,3033,האליץ',נפת סטאניסלאבוב
694,Dąbrowa Tarnowska,,1890,2391,3031,דוֹמְבְּרוֹבָה טַארְנוֹבְסְקָה,דומברובה
696,Dąbrowa Tarnowska,,1910,2403,3028,דוֹמְבְּרוֹבָה טַארְנוֹבְסְקָה,דומברובה
1374,Jagielnica,Chortkov,1910,1284,3027,יאגיילניצה,נפת צ'ורטקוב
1147,Dobromil,Dobrdomil,1870,1884,3025,דוברומיל,נפת דובדומיל
1406,Jezupol,Azipali,1921,188,3014,ייזופול,אזיפאלי
1379,Jazłowiec,Buчач,1880,1642,3008,יאזלוביץ,נפת בוצ'אץ'
700,Dukla,Krosno,1880,2410,3007,דוּקְלָה,קרוסנו
701,Dukla,Krosno,1890,2456,3006,דוּקְלָה,קרוסנו
695,Dąbrowa Tarnowska,,1900,2418,3000,דוֹמְבְּרוֹבָה טַארְנוֹבְסְקָה,דומברובה
1505,Narajów,Brezhany,1921,775,2989,נאראיוב,נפת בז'ז'אני
713,Dynów,,1900,1409,2985,דינוב,נפת בז'וזוב
26,Opoczno,Opoczno,1860,1713,2984,אופוצ'נו,נפת אופוצ'נו
41,Izbica Kujawska,Kalisz,1921,1378,2981,איזביצה קויאווסקה,נפת קאליש
1144,Dobrotwór,Kamionka Strumiłowa,1921,216,2979,דוברוטבור,קאמיונקה סטרומילובה
