Column1,name,dist,year,jewish_pop,total_pop,name_heb,dist_heb
1643,Brzeziny,,1921,4979,10633,בז'ז'יני,נפת בז'ז'יני
1140,Gródek Jagielloński,Gródek Jagielloński,1921,2545,10491,גרוּדֶק יאגיילונסקי,נפת גרודק יאגיילונסקי
1041,Borysław,Drohobych district,1890,7752,10424,בוריסלאב,נפת דרוהוביץ'
842,Jasło,,1921,2445,10391,יָאסְלוֹ,נפת יאסלו
468,Kutno,,1897,5169,10356,קוטנו,נפת קוטנו
297,Łęczyca,Powiat Łęczyca,1921,4051,10267,לנצ'יצה,נפת לנצ'יצה
271,Łowicz,Powiat Łowicz,1897,3552,10225,לוביץ',נפת לוביץ'
1364,Jaworów,Jaworów,1910,2643,10211,יאבורוב,נפת יאבורוב
1560,Sokal,,1921,4660,10183,סוקאל,נפת סוקאל
788,Chrzanów,Chrzanów,1900,5504,10170,חְטָאנוּב,נפת חשאנוב
841,Jasło,,1910,2262,10116,יָאסְלוֹ,נפת יאסלו
1136,Gródek Jagielloński,Gródek Jagielloński,1880,2952,10116,גרוּדֶק יאגיילונסקי,נפת גרודק יאגיילונסקי
1280,Złoczów,Złoczów,1890,5086,10113,זלוצ'וב,נפת זלוצ'וב
1363,Jaworów,Jaworów,1900,2846,10092,יאבורוב,נפת יאבורוב
1075,Brzeżany,Nפת Brzeżany,1921,3582,10083,בז'ז'אני,נפת בז'ז'אני
615,Bochnia,Bochnia,1900,1926,10071,בּוֹחְנִיָה,נפת בוחניה
485,Konin,,1921,2902,10045,קונין,נפת קונין
1334,Turka,Turka,1921,4201,10030,טורקה,נפת טורקה
843,Jasło,,1931,1512,10023,יָאסְלוֹ,נפת יאסלו
1192,Horodenka,,1880,3661,10014,הורודנקה,נפת הורודנקה
1245,Zbaraż,Nפת זבאראז',1910,3291,9983,זבאראז',נפת זבאראז'
1029,Buczacz,Powiat Buczacz,1880,6281,9970,בוצ'אץ,נפת בוצ'אץ
395,Piotrków Trybunalski,Piotrków,1857,4166,9954,פיוטרקוב טריבונאלסקי,פיעטריקאוו
243,Turek,Powiat Turek,1921,2678,9948,טורֶק,נפת טורק
1340,Tyśmienica,,1910,2305,9929,טישמייניצה,נפת טלומאץ'
1196,Horodenka,,1921,3048,9907,הורודנקה,נפת הורודנקה
1157,Dolina,,1910,2555,9852,דולינה,נפת דולינה
1376,Jagielnica,Chortkov,1935,1066,9783,יאגיילניצה,נפת צ'ורטקוב
1558,Sokal,,1900,3788,9609,סוקאל,נפת סוקאל
1261,Żółkiew,Zolkiew district,1910,3845,9463,ז'ולקייב,נפת ז'ולקייב
476,Kolo,,1897,4013,9359,קולו,נפת קולו
1040,Borysław,Drohobych district,1880,7363,9318,בוריסלאב,נפת דרוהוביץ'
1070,Brzeżany,Nפת Brzeżany,1870,4021,9290,בז'ז'אני,נפת בז'ז'אני
553,Sieradz,,1921,2835,9284,שייראדז,נפת שייראדז
930,Nowy Targ,Nowy Targ,1910,1370,9225,נובי טארג,נפת נובי טארג
1362,Jaworów,Jaworów,1890,2483,9219,יאבורוב,נפת יאבורוב
832,Jaworzno,Hшаnuв,1900,955,9181,יָאבוֹזְ'נוֹ,נפת חשאנוב
1172,Drohobycz,Drohobycz,1869,8055,9181,דרוהוביץ,דרוהוביץ
1156,Dolina,,1900,2654,9110,דולינה,נפת דולינה
1357,Trembowla,,1910,2088,9075,טרמבובלה,נפת טרמבובלה
1361,Jaworów,Jaworów,1880,2307,9072,יאבורוב,נפת יאבורוב
1260,Żółkiew,Zolkiew district,1900,4008,8966,ז'ולקייב,נפת ז'ולקייב
1028,Buczacz,Powiat Buczacz,1870,6077,8959,בוצ'אץ,נפת בוצ'אץ
1069,Brzeżany,Nפת Brzeżany,1875,3347,8939,בז'ז'אני,נפת בז'ז'אני
1365,Jaworów,Jaworów,1921,2405,8910,יאבורוב,נפת יאבורוב
614,Bochnia,Bochnia,1890,2133,8849,בּוֹחְנִיָה,נפת בוחניה
1191,Horodenka,,1870,3159,8824,הורודנקה,נפת הורודנקה
756,Zakopane,Nowy Targ,1921,533,8808,זאקופאנֶה,נובי טארג
1243,Zbaraż,Nפת זבאראז',1890,3631,8785,זבאראז',נפת זבאראז'
1158,Dolina,,1921,2014,8760,דולינה,נפת דולינה
645,Biała,Powiat Biała,1910,1274,8658,ביאלה,נפת ביאלה
806,Tarnowskie Góry,Tarnowskie Góry,1890,627,8618,טַארְנוֹבְסקֶיה גוּרִי,נפת טאדנובסקיה גודי
1360,Jaworów,Jaworów,1857,1873,8585,יאבורוב,נפת יאבורוב
613,Bochnia,Bochnia,1880,1666,8561,בּוֹחְנִיָה,נפת בוחניה
1246,Zbaraż,Nפת זבאראז',1921,2982,8409,זבאראז',נפת זבאראז'
296,Łęczyca,Powiat Łęczyca,1897,3444,8379,לנצ'יצה,נפת לנצ'יצה
1279,Złoczów,Złoczów,1880,4046,8347,זלוצ'וב,נפת זלוצ'וב
1155,Dolina,,1890,2593,8344,דולינה,נפת דולינה
1244,Zbaraż,Nפת זבאראז',1900,2896,8310,זבאראז',נפת זבאראז'
495,Końskie,,1921,5031,8291,קינצק,נפת קונסקיה
1356,Trembowla,,1900,2098,8283,טרמבובלה,נפת טרמבובלה
644,Biała,Powiat Biała,1900,1088,8257,ביאלה,נפת ביאלה
54,Aleksandrów,,1921,2635,8236,אלכסנדרוב,נפת לודז'
1218,Żabie,Kosów,1921,673,8188,ז'אביה,נפת קוסוב
242,Turek,Powiat Turek,1897,2072,8111,טורֶק,נפת טורק
354,Skierniewice,Skierniewice,1897,2898,8092,סקיירנייוויצה,נפת סקיירנייוויצה
1497,Nadwórna,Nafta Nadwórna,1910,3772,8080,נאדבורנה,נפת נאדבורנה
931,Nowy Targ,Nowy Targ,1921,1342,8071,נובי טארג,נפת נובי טארג
