Location,dist,region,country,North,East,Alternative Name,county1900
Cerekwitz (Cerekvice nad Bystrici), Jicin, Kralovehradecky, Czech Republic,502000,154325,Cerekvice nad Bystrici,Austrian Empire
Cerhenitz (Cerhenice), Kolín, Stredocesky, Czech Republic,500417,150420,Cerhenice,Austrian Empire
Cerhowitz (Cerhovice), Beroun, Stredocesky, Czech Republic,495059,135006,Cerhovice,Austrian Empire
Chabitschau (Chabicov), Opava, Moravskoslezsky, Czech Republic,495355,180543,Chabicov,Austrian Empire
Chaloupek (Chaloupky), Beroun, Stredocesky, Czech Republic,494729,135218,Chaloupky,Austrian Empire
Charleville/St. Hubert/Soltur (Banatsko Veliko Selo), Severnobanatski, Vojvodina, Serbia,454923,203534,SaHaTCKo BenuKo Ce.no,Austrian Empire
Charwath (Charvaty), Olomouc, Olomoucky, Czech Republic,493106,171514,Charváty,Austrian Empire
Chastan (Chrastany), Ceske Budejovice, Jihocesky, Czech Republic,491746,142315,Chrastany,Austrian Empire
Chejnow (Chynov), Tabor, Jihocesky, Czech Republic,492425,144840,Chýnov,Austrian Empire
Cherma (Cermna nad Orlici), Rychov nad Kneznou, Kralovehradecky, Czech Republic,500435,160756,Cermna nad Orlici,Austrian Empire
Chiesch (Chyse), Karlovy Vary, Karlovarsky, Czech Republic,500617,131457,Chyše,Austrian Empire
Chlistowitz (Chlistovice), Kutná Hora, Stredocesky, Czech Republic,495309,151209,Chlístovice,Austrian Empire
Chlumetz (Chlum u Trebone), Jindrichuv Hradec, Jihocesky, Czech Republic,485745,145541,Chlum u Trebone,Austrian Empire
Chlumetz an der Zidlina (Chlumec nad Cidlinou), Hradec Kralove, Kralovehradecky, Czech Republic,500916,152737,Chlumec nad Cidlinou,Austrian Empire
Chlumtschan (Chlumcany), Louny, Ustecky, Czech Republic,502006,135036,Chlumcany,Austrian Empire
Chodau (Chodov), Sokolov, Karlovarsky, Czech Republic,501429,124512,Chodov,Austrian Empire
Chodaun (Chodouny), Litomerice, Ustecky, Czech Republic,502824,141502,Chodouny,Austrian Empire
Chodoun (Chodoun), Beroun, Stredocesky, Czech Republic,495354,135912,Chodoun,Austrian Empire
Chomotau (Chomoutov), Olomouc, Olomoucky, Czech Republic,493828,171352,Chomoutov,Austrian Empire
Chomutitz (Chomutice), Jicin, Kralovehradecky, Czech Republic,502134,152947,Chomutice,Austrian Empire
Choteschan (Chotysany), Benešov, Stredocesky, Czech Republic,494439,144853,Chotýšany,Austrian Empire
Chotowin (Chotoviny), Tabor, Jihocesky, Czech Republic,492841,144037,Chotoviny,Austrian Empire
Christianstadt (Liberec-Kristianov), Liberec, Liberecky, Czech Republic,504618,150432,Liberec-Kristiánov,Austrian Empire
Christofsgrund (Krystofovo Udoli), Liberec, Liberecky, Czech Republic,504616,145555,Kryštofovo Údolí,Austrian Empire
Chrobold (Chroboly), Prachatice, Jihocesky, Czech Republic,485708,140339,Chroboly,Austrian Empire
Chropin (Chropyne), Kromeriz, Zlinsky, Czech Republic,492123,172152,Chropyne,Austrian Empire
Chrustenitz (Chrustenice), Beroun, Stredocesky, Czech Republic,500022,140908,Chrustenice,Austrian Empire
Chudonitz (Chudonice), Hradec Kralove, Kralovehradecky, Czech Republic,501353,152935,Chudonice,Austrian Empire
Chwalkowitz (Chvalkovice), Olomouc, Olomoucky, Czech Republic,493649,171732,Chválkovice,Austrian Empire
Chwalkowitz (Chvalkovice), Nachod, Kralovehradecky, Czech Republic,502452,155842,Chvalkovice,Austrian Empire
Chwalkowitz (Chvalikovice), Opava, Moravskoslezsky, Czech Republic,495308,175440,Chvalíkovice,Austrian Empire
Chwaltschow (Chvalcov), Kromeriz, Zlinsky, Czech Republic,492321,174241,Chvalcov,Austrian Empire
