line_id,code,jg_id,ejl_line,name,dist,prov,area,region,prov1900,prov1930,jg_dist,jg_dist1930,country1900,country1930
752,MNS_BBR_KVCH,-1042066,2515,Kitaigorod,Lipovets,Kiev,Pale,Vinnitsa,Kiev,Ukraine SSR,Lipovets,Vinnitsa,Russian Empire,Soviet Union
753,WRS_VLT_KWL,-1042064,2516,Kitaigorod,Novaia Ushitsa,Podolia,Pale,Kamenets-Podolski,Podolia,Ukraine SSR,Novaia Ushitsa,Kamenets-Podolski,Russian Empire,Soviet Union
754,KLS_TRK_KWLP,-1042075,2519,Kivertsy,Lutsk,Volhynia,Pale,Volhynia,Volhynia,Wołyń,Lutsk,Łuck,Russian Empire,Soviet Union
755,VLH_KVL_KVL,-1944253,2523,Kletsk,Slutsk,Minsk,Pale,Nowogrodek,Minsk,Nowogródek,Slutsk,Nieśwież,Russian Empire,Soviet Union
756,MNS_PNS_KZHN,-1042140,2535,Klesov,Rovno,Volhynia,Pale,Volhynia,Volhynia,Polesie,Rovno,Sarny,Russian Empire,Soviet Union
757,CRN_KZL_KZLT,-1042145,2540,Klevan,Rovno,Volhynia,Pale,Volhynia,Volhynia,Wołyń,Rovno,Równe,Russian Empire,Soviet Union
758,VLN_DSN_KZNY,-507955,2543,Klimontów,Sandomierz,Radom,Congress Poland,Kielce,Radom,Kielce,Sandomir,Sandomierz,Russian Empire,Poland
759,RDM_KNS_KZGL,-1944265,2544,Klimovichi,Klimovichi,Mogilev,Pale,Mogilev,Mogilev,Belarus SSR,Klimovichi,Mogilev,Russian Empire,Soviet Union
760,VLH_DBN_KZN,-2929365,2545,Klimov,Novozybkov,Chernigov,Pale,Oriol,Chernigov,Russian SSR,Novozybkov,Oriol,Russian Empire,Soviet Union
761,GLC_TRN_KZLW,-509370,2554,Komarówka,Radzyn,Siedlce,Congress Poland,Stanislawow,Siedlce,Lublin,Radzyń,Radzyń,,Poland
762,GRD_SLN_KZLV,-1042227,2556,Knihynicze,Rohatyn,Galicia,Galicia,Stanislawow,Galicia,Stanisławów,Rohatyn,Rohatyn,Austrian Empire,Soviet Union
763,PRU_PSN_KSCH,-1944322,2563,Kobrin,Kobrin,Grodno,Pale,Polesie,Grodno,Polesie,Kobrin,Kobryń,Russian Empire,Soviet Union
764,KLS_KLS_KZMN,-508267,2565,Kobylin,Krotoszyn,Preussen,Prussia,Poznan,Preußen,Poznań,Posen,Krotoszyn,Germany,Poland
765,GLC_TRN_KZW,-1946657,2566,Kobylnik,Sventsiany,Vilna,Pale,Vilna,Vilna,Wilno,Sventsiany,Postawy,,Soviet Union
2685,VLN_VLK_KRSK,,2567,Kocborowo,Pommern,Prussia,,Pomerania,,,,,,
766,KLC_KLC_KRJN,-508378,2568,Kock,Lukow,Siedlce,Congress Poland,Lublin,Siedlce,Lublin,Lukov,Łuków,Russian Empire,Poland
767,KVN_KVN_KRK,-508399,2570,Kodeń,Biala,Siedlce,Congress Poland,Lublin,Siedlce,Lublin,Biela,Biała Podlaska,Russian Empire,Poland
768,GLC_LWW_KRKW,-1042311,2571,Kodnia,Zhitomir,Volhynia,Pale,Zhitomir,Volhynia,Ukraine SSR,Zhitomir,Zhitomir,Russian Empire,Soviet Union
769,VLH_ZHT_PLNY,-1042313,2573,Kodyma,Balta,Podolia,Pale,Moldavia,Podolia,Moldavian ASSR,Balta,,Russian Empire,Soviet Union
