code,id,name,enc_name,prov,country,geomatry,name1900,name1930,name1945,pop1900,prov1900,prov1930,country1910,country1930,country1945,code_prov,code_dist,abbr_name,abbr_prov,abbr_dist,abbr_country,alt_names,pinkas_ref,enc_page,n,dist1930,dist
EKT_BKH_ARTM,-1034612,Artemivs'k,ARTIOMOVSK,Yekaterinoslav,Ukraine,48.583333333333|38,Bakhmut,Artiomovsk,Artëmovsk,"3,259",Ekaterinoslav,Ukraine SSR,Russian Empire,Soviet Union,Soviet Union,13,3,ARTM,EKT,BKH,UKR,Artemivs'k|Bakhmut [Rus|Artëmovsk [Rus|Pol]|Bachmut [Yid|since 1924]|before 1924]|Artemowsk,,56,1,Stalino,Bakhmut
BSS_AKK_ARTS,-1034623,Artsyz,ARCIZ,Bessarabia,Ukraine,45.983333333333|29.416666666667,Artsiz,Arciz,Artsiz,"337 (in 1897), 842 (in 1930)",Bessarabia,Basarabia,Russian Empire,Romania,Soviet Union,3,2,ARTS,BSS,AKK,UKR,Artsis|Arsis|Arţiz|Arcis|Arsiz|Artsyz|Arciz|Alt-Artsiz|Artsiz|Staro-Artsiz|Archiz,,54,1,Cetatea Albă,Akkerman
TRD_ALS_ASKN,-1034632,Askaniya Nova,ASKINYIA NOVA,Taurida,Ukraine,46.45|33.866666666667,Askaniya Nova,Askaniya Nova,Askaniya Nova,22 (in 1939),Taurida,Ukraine SSR,Russian Empire,Soviet Union,Soviet Union,41,3,ASKN,TRD,ALS,UKR,Rus]|Askania-Nova|Askaniya Nova [Ukr|Neu-Askanien|Askanija-Nowo,,58,1,Zaporozhe,Aleshki
BSS_KHT_ATKY,-1034644,Ataky,,Bessarabia,Ukraine,48.533333333333|26.483333333333,Ataki,Atachi,Ataki,"123 (in 1897), 0 (in 1930)",Bessarabia,Basarabia,Russian Empire,Romania,Soviet Union,3,8,ATKY,BSS,KHT,UKR,Otaoc|Ataki|Ataky|Atachi,,,1,Hotin,Khotin
KV_UMN_BBNK,-1034731,Babanka,BABENKA,Kiev,Ukraine,48.7|30.45,Babanka,Babanka,Babanka,103 (in 1939),Kiev,Ukraine SSR,Russian Empire,Soviet Union,Soviet Union,16,10,BBNK,KV,UMN,UKR,Ukr]|Babanka [Rus|Babynka|Bobinka|Babenka,,67,1,Kiev,Uman'
TRD_SMF_BKHC,-1034817,Bakhchysaray,BAKHCHISARAY,Taurida,Ukraine,44.75|33.866666666667,Bakhchisaray,Bakhchisaray,Bakhchisaray,"1,162 (in 1794), 210 (in 1897)",Taurida,Ukraine SSR,Russian Empire,Soviet Union,Soviet Union,41,1,BKHC,TRD,SMF,UKR,Bağçasaray|Bahçesaray|Bakhchysaray|Bakhchisaray|Bachtchisarai|Bakhehisaray|Bachischissarai,,80,1,Crimea,Simferopol'
CHR_KNT_BKHM,-1034820,Bakhmach,BAKHMACH,Chernigov,Ukraine,51.216666666667|32.766666666667,Bakhmach,Bakhmach,Bakhmach,491,Chernigov,Ukraine SSR,Russian Empire,Soviet Union,Soviet Union,48,6,BKHM,CHR,KNT,UKR,Rus]|Bachmatsch|Bachmatch|Bachmac|Bachmacz|Bakhmach [Ukr,,80,1,Chernigov,Konotop
CHR_KNT_BKHM2,-1034820,Bakhmach,BAKHMACH,Chernigov,Ukraine,51.216666666667|32.766666666667,Bakhmach,Bakhmach,Bakhmach,491,Chernigov,Ukraine SSR,Russian Empire,Soviet Union,Soviet Union,48,6,BKHM,CHR,KNT,UKR,Rus]|Bachmatsch|Bachmatch|Bachmac|Bachmacz|Bakhmach [Ukr,,80,2,Chernigov,Konotop
KV_LPV_BLBN,-1034851,Balabanivka,BALABANOVKA,Kiev,Ukraine,49.116666666667|29.616666666667,Balabanovka,Balabanovka,Balabanovka,493 (in 1897),Kiev,Ukraine SSR,Russian Empire,Soviet Union,Soviet Union,16,6,BLBN,KV,LPV,UKR,Balabanovka [Rus|Balabanivka|Bałabanówka|Yid],,80,1,Vinnitsa,Lipovets
TRD_SVS_BLKL,-1034856,Balaklava,BALAKLAVA,Taurida,Ukraine,44.5|33.6,Balaklava,Balaklava,Balaklava,104 (in 1939),Taurida,Ukraine SSR,Russian Empire,Soviet Union,Soviet Union,41,10,BLKL,TRD,SVS,UKR,Ukr]|Balaklava [Rus|Balıqlava|Balıklava|Balaklawa,,80,1,Crimea,Sevastopol'
PDL_KMN_BLN,-1034883,Balin,BALLIN,Podolia,Ukraine,48.866666666667|26.683333333333,Balin,Balin,Balin,357,Podolia,Ukraine SSR,Russian Empire,Soviet Union,Soviet Union,,,BLN,PDL,KMN,UKR,Balina|Ballin|Yid]|Balin [Rus|Balyn,,82,1,Kamenets-Podolski,Kamenets-Podol'sk
PDL_BLT_BLT,-1034900,Balta,BALTA,Podolia,Ukraine,47.933333333333|29.616666666667,Balta,Balta,Balta,"13,235 (in 1897)",Podolia,Moldavian ASSR,Russian Empire,Soviet Union,Soviet Union,32,2,BLT,PDL,BLT,UKR,Balta [Ukr|Balte|Rus]|Bałta,,82,1,,Balta
BKV_STR_BNYL,-1034915,Banyliv Pidhirnyi,BANILA PE SIRET,Bukovina,Ukraine,48.083333333333|25.483333333333,Banila am Sereth,Bănila pe Siret,Banilov,687 (in 1930),Bukovina,Bucovina,Austrian Empire,Romania,Soviet Union,63,9,BNYL,BKV,STR,UKR,Banyliv-Pidhirnyi|Banilov|Banilov-Podgorny|Moldavskiy Banilov|Bănila pe Siret|Banila|Mold. Banila|Banila am Sereth|Moldauish-Banilya|Bănila Moldovenească|Moldauisch Banilla|Banilla Mołdawska,,84,1,Storojineţ,Storojinet
BKV_WZN_BNYL,-1034916,Banyliv,BANILA PE CEREMUS,Bukovina,Ukraine,48.366666666667|25.366666666667,Rus-Banila,Banila pe Ceremus,Banilov,"818 (in 1888), 517 (in 1930)",Bukovina,Bucovina,Austrian Empire,Romania,Soviet Union,63,6,BNYL,BKV,WZN,UKR,Russish Banilya|Banilov|Bănila Rusească|Russisch Banilla|Banyliv|Rus-Banila|Russkiy Banilov|Bănila pe Ceremuș|Banilla Ruska,"Romania, Vol. 2 (1980), p. 451: """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""Bănila pe Ceremuș"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""".",84,1,Storojineţ,Wiznitz
GLC_KLM_BNYB,-1034922,Banya Bereziv,,Galicia,Ukraine,48.416666666667|24.75,Bania Berezów,Bania Berezów,Banya Berëzov,7 (in 1880),Galicia,Stanisławów,,Poland,Soviet Union,62,54,BNYB,GLC,KLM,UKR,Banja-Bereziv|Banya Bereziv|Banya Berëzov|Banya-Berezuv|Bania Berezów|Bania Berezowska|Berezovskaya Banya|Banya Berezuvska,,,1,Peczeniżyn,Kołomyja
PDL_MGL_BR,-1034926,Bar,BAR,Podolia,Ukraine,49.066666666667|27.666666666667,Bar,Bar,Bar,"5,773",Podolia,Ukraine SSR,Russian Empire,Soviet Union,Soviet Union,32,8,BR,PDL,MGL,UKR,Yid]|Bar [Rus|Ukr,,86,1,Vinnitsa,Mogilev
VLH_NVG_BRNV,-1034958,Baranivka,,Volhinia,Ukraine,50.3|27.666666666667,Baranovka,Baranovka,Baranovka,"1,990",Volhynia,Ukraine SSR,,Soviet Union,Soviet Union,,,BRNV,VLH,NVG,UKR,Baraniwka|Baranivka|Baranovka [Rus|Baranówka|Yid]|Baronovka|Baronefke,,,1,Zhitomir,Novograd-Volynsky
VLH_ZHT_BRSH,-1034965,Barashi,BARASHI,Volhinia,Ukraine,50.716666666667|28.016666666667,Barashi,Barashi,Barashi,~400,Volhynia,Ukraine SSR,Russian Empire,Soviet Union,Soviet Union,8,1,BRSH,VLH,ZHT,UKR,Yid]|Barashi [Rus|Barasze|Ukr,,88,1,Zhitomir,Zhitomir
VLH_DBN_BRML,-1034974,Baremel,BOREMEL,Volhinia,Ukraine,50.466666666667|25.2,Boremel,Boremel,Baremel',"1,047 (in 1897), 857 (in 1921)",Volhynia,Wołyń,Russian Empire,Poland,Soviet Union,8,3,BRML,VLH,DBN,UKR,Boromel|Baremel'|Boremel|Mikhailovka|Boremla|Mochalivka|Boreml|Michałówka|Beremelia,,172,1,Dubno,Dubno
GLC_BRD_BRYL,-1034975,Baryliv,,Galicia,Ukraine,50.35|24.883333333333,Baryłów,Baryłów,Barilov,,Galicia,Tarnopol,Austrian Empire,Poland,Soviet Union,62,63,BRYL,GLC,BRD,UKR,Barylov|Baryluv|Barîliv|Baryliv|Barilov|Baryłów,,,1,Radziechów,Brody
GLC_BCZ_BRYS,-1035000,Barysh,BARYSZ,Galicia,Ukraine,49.033333333333|25.266666666667,Barysz,Barysz,Barysh,229 (in 1931),Galicia,Tarnopol,Austrian Empire,Poland,Soviet Union,62,65,BRYS,GLC,BCZ,UKR,Barysz|Barysh|Barys,"Poland, Vol. 2 (1980), p. 64: """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""Barysz""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",91,1,Buczacz,Buczacz
PLT_PRS_BRYS,-1035001,Baryshivka,BARYSZEVKA,Poltava,Ukraine,50.366666666667|31.333333333333,Baryshevka,Baryshevka,Baryshevka,462,Poltava,Ukraine SSR,Russian Empire,Soviet Union,Soviet Union,33,11,BRYS,PLT,PRS,UKR,Baryszówka|Baryszevka|Baryshivka|Baryshevka|Lipnyaki,,91,1,Kiev,Pereiaslav
CHR_KNT_BTRY,-1035043,Baturyn,,Chernigov,Ukraine,51.35|32.883333333333,Baturin,Baturin,Baturin,,Chernigov,Ukraine SSR,Russian Empire,Soviet Union,Soviet Union,48,6,BTRY,CHR,KNT,UKR,Pol]|Baturyn [Ukr|Baturin [Rus|Yid],,,1,Chernigov,Konotop
GLC_ZLK_BTYT,-1035044,Batyatychi,BATIATYCZE,Galicia,Ukraine,50.1|24.266666666667,Batiatycze,Batiatycze,Batyatychi,"136 (in 1880), 195 (in 1921)",Galicia,Lwów,,Poland,Soviet Union,62,46,BTYT,GLC,ZLK,UKR,Batyatychi|Batjatyci|Batiatycze|Batyatyche,"Poland, Vol. 2 (1980), p. 522: """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""Batiatycze""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",92,1,Żółkiew,Żółkiew
VLH_STR_BZLY,-1035073,Bazaliya,BAZALIYA,Volhinia,Ukraine,49.716666666667|26.466666666667,Bazaliya,Bazaliya,Bazaliya,820 (in 1897),Volhynia,Ukraine SSR,Russian Empire,Soviet Union,Soviet Union,8,12,BZLY,VLH,STR,UKR,Bazilia [Yid|Ukr]|Bazalija|Pol]|Baziliye|Bazaliya [Rus,,95,1,Kamenets-Podolski,Starokonstantinov
VLH_OVR_BZR,-1035076,Bazar,BAZAR,Volhinia,Ukraine,51.05|29.3,Bazar,Bazar,Bazar,833 (in 1897),Volhynia,Ukraine SSR,Russian Empire,Soviet Union,Soviet Union,8,9,BZR,VLH,OVR,UKR,Pol]|Yid|Bazar [Rus|Ukr,,95,1,Zhitomir,Ovruch
MRM_MRM_BDVL,-1035089,Bedevlya,BEDEVLA,Maramaros,Ukraine,48|23.666666666667,Bedöháza,Bedevľa,Bedevlya,304 (in 1880),Máramaros,Subcarpathia,,Czechoslovakia,Soviet Union,,,BDVL,MRM,MRM,UKR,Bedijou|Bedöháza|Bedeval|Bedevle|Bedevľa|Bedevlya,,97,1,,Máramaros
KV_BRD_BLYL,-1035165,Bilylivka,BELILOVKA,Kiev,Ukraine,49.683333333333|29.033333333333,Belilovka,Belilovka,Belilovka,"2,223 (in 1897), 1,897 (in 1926)",Kiev,Ukraine SSR,Russian Empire,Soviet Union,Soviet Union,16,2,BLYL,KV,BRD,UKR,Bilylivka|Bilyliwka|Belilovka [Rus|Yid]|Byelilovka|Białołówka,,102,1,Zhitomir,Berdichev
KRP_BRG_BLKY,-1035186,Bilky,BILKY,Karpatalja,Ukraine,48.316666666667|23.133333333333,Bilke,Bilky,Belki,"628 (in 1880), 1,081 (in 1921)",Kárpátalja,Subcarpathia,,Czechoslovakia,Soviet Union,,,BLKY,KRP,BRG,UKR,Slov]|Belki|Bilke [Hun|Bilkî|Bilki|Yid]|Biłky|Bilky [Ukr,,149,1,,Bereg
VLH_ZSL_BLHR,-1035197,Bilohorodka,BELOGORODKA,Volhinia,Ukraine,50|26.633333333333,Bielogorodka,Belogorodka,Belogorodka,"1,846 (in 1897)",Volhynia,Ukraine SSR,Russian Empire,Soviet Union,Soviet Union,8,4,BLHR,VLH,ZSL,UKR,Białagródka|Bielogorodka|Bielohorodka|Bilhorodki|Belogorodka|Belogorsk|Bilohorodka,,104,1,Kamenets-Podolski,Zaslavl'
TRD_SMF_BLHR,-1035201,Bilohirs'k,KARASUBAZAR,Taurida,Ukraine,45.05|34.6,Karasubazar,Karasubazar,Belogorsk,"3,144 (in 1897)",Taurida,Ukraine SSR,Russian Empire,Soviet Union,Soviet Union,41,1,BLHR,TRD,SMF,UKR,Qarasuvbazar|Bilohirs’k|before 1944]|Karasubozar|Belogorsk|Karasu|Karasubazar [Rus|Karassu Basar,,595,1,Crimea,Simferopol'
VLH_OST_BLHR,-1035206,Bilohirya,LAKHOVTSY,Volhinia,Ukraine,50|26.416666666667,Lakhovtsy,Lakhovtsy,Belogor'ye,"1,384",Volhynia,Ukraine SSR,Russian Empire,Soviet Union,Soviet Union,8,10,BLHR,VLH,OST,UKR,Lachowce|before 1944]|Lachowcy|Belogor'ye [Rus|Lakhovtsy [Rus|Lyakhovtsy|since 1944]|Lachovitz|Liachovitz|Bilohir'ya,,701,1,Kamenets-Podolski,Ostrog
KV_BRD_BLPL,-1035228,Belopol'ye,BELOPOLYE,Kiev,Ukraine,49.85|28.866666666667,Belopol'ye,Belopol'ye,Belopol'ye,"1,141 (in 1897), 1,255 (in 1926)",Kiev,Ukraine SSR,Russian Empire,Soviet Union,Soviet Union,16,2,BLPL,KV,BRD,UKR,Belopol'ye|Białopol|Bilopillya,,104,1,Vinnitsa,Berdichev
KHR_SMY_BLPL,-1035229,Bilopillya,BIELOPOLIE,Kharkov,Ukraine,51.15|34.3,Belopol'ye,Belopol'ye,Belopol'ye,"105 (in 1897), 125 (in 1939)",Kharkov,Ukraine SSR,Russian Empire,Soviet Union,Soviet Union,46,11,BLPL,KHR,SMY,UKR,Belopol'ye|Bilopillya|Bielopolie|Belopolje,,145,1,Sumy,Sumy
PLT_KHR_BLTS,-1035246,Bilotserkivka,,Poltava,Ukraine,49.683333333333|33.783333333333,Belotserkovka,Belotserkovka,Belotserkovka,297 (in 1897),Poltava,Ukraine SSR,Russian Empire,Soviet Union,Soviet Union,33,15,BLTS,PLT,KHR,UKR,Bilotserkivka|Belotserkovka,,,1,Poltava,Khorol
GLC_NDW_BLOS,-1035311,Bili Oslavy,OSLAW BIALY,Galicia,Ukraine,48.5|24.7,Osław Biały,Osław Biały,Belyye Oslavy,187 (in 1921),Galicia,Stanisławów,,Poland,Soviet Union,62,53,BLOS,GLC,NDW,UKR,Osław Biały|Bili Oslavy|Belyye Oslavy|Oslav Byaly|Osławy Białe,,946,1,Nadwórna,Nadwórna
GLC_ZLC_BLYK,-1035313,Bilyi Kamin,BIALY KAMIEN,Galicia,Ukraine,49.9|24.833333333333,Bialykamień,Biały Kamień,Belyy Kamen',"1,704 (in 1900), 298 (in 1921)",Galicia,Tarnopol,,Poland,Soviet Union,62,75,BLYK,GLC,ZLC,UKR,Biały Kamień|Bilkamin|Bialykamień|Bialikomin|Belyy Kamen'|Bilyi Kamin',,138,1,Złoczów,Złoczów
GLC_SKL_BLZ,-1035317,Belz,BELZ,Galicia,Ukraine,50.383333333333|24.016666666667,Belz,Bełz,Belz,"2,872",Galicia,Lwów,Austrian Empire,Poland,Soviet Union,62,41,BLZ,GLC,SKL,UKR,Belzec|Beltz|Bełsk|Bels|Bełz|Yid]|Ukr|Belz [Rus,"Poland, Vol. 2 (1980), p. 117-120: """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""Belz""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",104,1,Sokal,Sokal
TRD_BRD_BRDY,-1035337,Berdyansk,OSIPENKO,Taurida,Ukraine,46.75|36.8,Berdyansk,Osipenko,Osipenko,"3,048",Taurida,Ukraine SSR,Russian Empire,Soviet Union,Soviet Union,41,2,BRDY,TRD,BRD,UKR,Osipenko [Rus|Berdjansk|Berdiansk|Berdiańsk|Berdyans'k|1939-1958],,946,1,Zaporozhe,Berdiansk
KV_BRD_BRDY,-1035347,Berdychiv,BERDICHEV,Kiev,Ukraine,49.9|28.583333333333,Berdichev,Berdichev,Berdichev,"41,617",Kiev,Ukraine SSR,Russian Empire,Soviet Union,Soviet Union,16,2,BRDY,KV,BRD,UKR,Berdychiv|Berdyczów|Berdicev|Berdytschiw|Berdyciv|Berditchov|Berditschew|Barditchev|Berditchev|Berdichev,,112,1,Zhitomir,Berdichev
KRP_BRG_VLYK,-1035355,Velyki Berehy,BEREHY,Karpatalja,Ukraine,48.233333333333|22.75,Nagybereg,Berehy,Velikiy Beregi,"86 (in 1880), 176 (in 1941)",Kárpátalja,Subcarpathia,,Czechoslovakia,Soviet Union,,,VLYK,KRP,BRG,UKR,Bereg|Welyki Berehy|Veľký Bereg|Nagybereg|Nagy-Bereg|Berehy|Brehy|Velyki Berehy|Velikiy Beregi,,113,1,,Bereg
BKV_WZN_BRHM,-1035358,Berehomet,BERHOMETE PRE SIRET,Bukovina,Ukraine,48.183333333333|25.333333333333,Berhomet am Sereth,Berhomete pe Siret,Beregomet,979 (in 1930),Bukovina,Bucovina,Austrian Empire,Romania,Soviet Union,63,6,BRHM,BKV,WZN,UKR,Beregomet|Berhomete pe Siret|Bergomet|Berhomet|Berehomet|Berkhomet|Berhomet am Sereth|Berhometh|Barhumet|Berkhomet-pe-Siret,,116,1,Storojineţ,Wiznitz
KRP_BRG_BRHV,-1035365,Berehove,,Karpatalja,Ukraine,48.216666666667|22.65,Beregszász,Berehovo,Beregovo,"1,795 (in 1880), 4,592 (in 1921)",Kárpátalja,Subcarpathia,,Czechoslovakia,Soviet Union,,,BRHV,KRP,BRG,UKR,Berekhovo|Beregovo|Berehowo|Bergsaß|Slov]|Sachsisch-Bereg|Berehove|Berehovo [Cz|Beregsaz|Beregszász,,,1,,Bereg
VLH_DBN_BRST,-1035372,Berestechko,BERESTECZKO,Volhinia,Ukraine,50.35|25.116666666667,Berestechko,Beresteczko,Berestechko,"2,251",Volhynia,Wołyń,Russian Empire,Poland,Soviet Union,8,3,BRST,VLH,DBN,UKR,Brestitski|Rus]|Berestechko [Ukr|Beresteczko|Berestetchka|Brestetshke,"Poland, Vol. 5 (1990), p. 51-54: """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""Beresteczko""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",51,1,Horochów,Dubno
VLH_OVR_BRST,-1035380,Berestovets,,Volhinia,Ukraine,50.866666666667|26.3,Berestovets,Berestowiec,Berestovets,,Volhynia,Wołyń,Russian Empire,Poland,Soviet Union,8,9,BRST,VLH,OVR,UKR,Ukr]|Berestovitz|Berestovets [Rus|Berestovec'|Berestowiec,,,1,Kostopol,Ovruch
PLT_PRS_BRZN,-1035399,Berezan,,Poltava,Ukraine,50.316666666667|31.466666666667,Berezan',Berezan',Berezan',,Poltava,Ukraine SSR,Russian Empire,Soviet Union,Soviet Union,33,11,BRZN,PLT,PRS,UKR,Beresan|Rus]|Berezan' [Ukr|Velikaia Berezan′|Berezan,,,1,Kiev,Pereiaslav
VLH_NVG_BRZD,-1035406,Berezdiv,BEREZDOV,Volhinia,Ukraine,50.466666666667|27.116666666667,Berezdov,Berezdov,Berezdov,"1,319",Volhynia,Ukraine SSR,Russian Empire,Soviet Union,Soviet Union,,,BRZD,VLH,NVG,UKR,Yid]|Berezdov|Berezdiv [Ukr|Berezdów,,114,1,Kamenets-Podolski,Novograd-Volynskii
GLC_BBR_BRZD,-1035407,Berezdivtsi,BRZOZDOWCE,Galicia,Ukraine,49.45|24.15,Brzozdowce,Brzozdowce,Berezdovtsy,640 (in 1880),Galicia,Lwów,,Poland,Soviet Union,62,19,BRZD,GLC,BBR,UKR,Brudzovitz|Berezdivci|Berezdovtsy|Berezdivtsi|Brzozdowce|Brizdivitz|Bzhozdovtse,,207,1,Bóbrka,Bóbrka
GLC_BRZ_BRZH,-1035414,Berezhany,BRZEZANY,Galicia,Ukraine,49.45|24.933333333333,Brzeżany,Brzeżany,Berezhany,"4,712 (in 1880)",Galicia,Tarnopol,,Poland,Soviet Union,62,64,BRZH,GLC,BRZ,UKR,Brzezhany|Ukr]|Brizan|Brzeżany|Barzan|Berezhany [Rus|Berson|Bereschany|Berzhan|Berezany|Bzezan|Brezan|Bzhezhani,"Poland, Vol. 2 (1980), pp. 107-114: """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""Brzeżany"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""".",206,1,Brzeżany,Brzeżany
VLH_LTS_BRZH,-1035427,Berezhnytsia,BEREZNICA,Volhinia,Ukraine,51.433333333333|26.466666666667,Berezhnitsa,Bereźnica,Berezhnitsa,"2,160 (in 1897), 1,372 (in 1921)",Volhynia,Polesie,Russian Empire,Poland,Soviet Union,8,7,BRZH,VLH,LTS,UKR,Bereznycja|Berezhnitsy|Bereznitza|Berezhnitsa|Berezhnitza|Bereźnica|Berezhnytsia,"Poland, Vol. 5 (1990), pp. 50-51: """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""Bereźnica"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""".",116,1,Sarny,Lutsk
