code,id,name,dist,prov,code_prov,code_dist
WRS_WRS_OKNW,-519589,Okuniew,Warsaw,Warsaw,51,1
KLC_PLN_OLSN,-519690,Olesnica,Stopnica,Kielce,,
PRU_SCH_OLSN,-519691,Olesnica,Schlesien,Prussia,,
PRU_SCH_OLSN2,-519708,Olesno,Schlesien,Prussia,,
GLC_CSZ_OLSZ,-519718,Oleszyce,Cieszanów,Galicia,62,30
KLC_OLK_OLKS,-519731,Olkusz,Ol'kush,Kielce,53,5
PTR_CHN_OLSZ,-519858,Olsztyn,Chenstokhov,Piotrkow,56,8
PRU_OST_OLSZ,-519859,Olsztyn,Ostpreußen,Prussia,,
PRU_OST_OLSZ2,-519862,Olsztynek,Ostpreußen,Prussia,,
RDM_OPT_OPTW,-519939,Opatow,Opatov,Radom,58,5
KLC_PNC_OPTW,-519946,Opatowiec,Pinchov,Kielce,53,6
RDM_OPC_OPCZ,-519966,Opoczno,Opochno,Radom,58,6
PRU_SCH_OPL,-519973,Opole,Schlesien,Prussia,,
LBL_PLN_OPLL,-519976,Opole Lubelskie,Puławy,Lublin,,
GRD_BLS_ORL,-520022,Orla,Bielsk,Grodno,11,4
PRU_OST_ORNT,-520078,Orneta,Ostpreußen,Prussia,,
WRS_NSH_OSCN,-520176,Osieciny,Neshava,Warsaw,51,8
SDL_GRV_OSCK,-520178,Osieck,Garvolin,Siedlce,60,5
