id,name,altname,lang,period
-492229,Aleksandrów,aleksandrów kujawski,,
-492229,Aleksandrów,aleksandrów,Poland,1879-1919
-492229,Aleksandrów,trojanów,Poland,until 1879
-492229,Aleksandrów,aleksandrowo,,
-492229,Aleksandrów,aleksandrów podgraniczny,,
-492229,Aleksandrów,weichselstädt,Germany,1943-45
-1048946,Aleksinets,novyy oleksinets,,
-1048946,Aleksinets,nowy oleksiniec,,
-1048946,Aleksinets,aleksnitz,,
-1048946,Aleksinets,oleksinets novy,,
-1048946,Aleksinets,olekiniec-nowy,,
-1048946,Aleksinets,novyy aleksinets,,
-1048946,Aleksinets,nove-oleksynec',,
-1048946,Aleksinets,novyolekcenez,,
-1056817,Aleshki,tsyurupyns'k,,
-1056817,Aleshki,tsyurupinsk,,
-1056817,Aleshki,aleshki,Russia,1862-1928
-1056817,Aleshki,dnieprovsk,Russia,before 1862
-1056817,Aleshki,oleshki,,
-1056817,Aleshki,aleszki,,
-1056817,Aleshki,tsuriupinsk,,
-1056817,Aleshki,cjurupyns'k,,
-1056817,Aleshki,ciurupińsk,,
-1056817,Aleshki,zjurupynsk,,
-492230,Aleskandrów,aleksandrów łódzki,,
-492230,Aleskandrów,aleksander,,
-492230,Aleskandrów,aleskandrów,,
-492230,Aleskandrów,aleksandrova,,
-492230,Aleskandrów,aleksandor,,
-110146,Alessandria,alessandria,,
-110146,Alessandria,lissandria,,
-290263,Alexandria,alexandria,,
-290263,Alexandria,al-iskandariya,,
-290263,Alexandria,eskendereyya,,
-1150947,Alexandria,alexandria,,
-1159950,Alfalualgyógy / Algyógyalfalu,geoagiu,,
-1159950,Alfalualgyógy / Algyógyalfalu,alfalualgyógy,,
-1159950,Alfalualgyógy / Algyógyalfalu,gergesdorf,,
-1159950,Alfalualgyógy / Algyógyalfalu,algyógy,,
-1159950,Alfalualgyógy / Algyógyalfalu,algyógyalfalu,,
-1159950,Alfalualgyógy / Algyógyalfalu,geoagiul,,
-1159950,Alfalualgyógy / Algyógyalfalu,geoagiul de jos,,
-1159950,Alfalualgyógy / Algyógyalfalu,gioagu inferioru,,
-458371,Algiers,algiers,,
-458371,Algiers,alger,,
-458371,Algiers,al-jeza'ir,,
-458371,Algiers,algeri,,
-458371,Algiers,ledzayer,,
-841781,Alistál,dolný štál,,
-841781,Alistál,alistál,,
-841781,Alistál,hroboňovo,Czech,1948-1990
-841781,Alistál,dolní štál,,
-2140374,Alkmaar,alkmaar,,
-1867208,Allendorf,stadtallendorf,Germany,since 1960
-1867208,Allendorf,allendorf,Germany,before 1960
-1867208,Allendorf,stadt-allendorf,,
-1867208,Allendorf,allendorf im bärenschießen,,
-1738127,Allendorf an der Lumda,allendorf an der lumda,,
-1738127,Allendorf an der Lumda,allendorf,,
-519859,Allenstein,olsztyn,,
-519859,Allenstein,allenstein,,
-519859,Allenstein,olštynas,,
-519859,Allenstein,allenshteyn,,
-519859,Allenstein,alnāsteini,,
-519859,Allenstein,alnaštynas,,
-1738188,Allersheim,allersheim,,
-1738188,Allersheim,alirshi,,
-1738188,Allersheim,alersha,,
-848685,Almás,bácsalmás,,
-848685,Almás,almás,,
-848685,Almás,bácsahná,,
-848685,Almás,aljmaš,"Serbia, Croatia",
-848685,Almás,almasch,,
-848685,Almás,heimerskirchen,,
-848685,Almás,bačaljmaš,,
-2140386,Almelo,almelo,,
-847978,Álmosd,álmosd,,
-1173350,Alör,urişor,,
-1173350,Alör,alör,,
-1173350,Alör,felsendorf,,
-1173350,Alör,alőr,,
-1173350,Alör,alsóksály,,
-1173350,Alör,urisor de jos,,
-1173350,Alör,uriu-de-jos,,
-1173350,Alör,uriul-de-jos,,
-2140398,Alphen aan de Rijn,alphen aan de rijn,,
-1738407,Alsbach,alsbach,,
-1738407,Alsbach,alsbach-hähnlein,,
-1738407,Alsbach,alsbach an der bergstraße,,
-1738428,Alsenz,alsenz,,
-1738434,Alsfeld,alsfeld,,
-1738436,Alsheim,alsheim,,
-1038290,Alsóapsa,nyzhnya apsha,,
-1038290,Alsóapsa,dubrava,,
-1038290,Alsóapsa,nižná apša,,
-1038290,Alsóapsa,alsóapsa,,
-1038290,Alsóapsa,unter-apsa,,
-1038290,Alsóapsa,apşa de jos,,
-1038290,Alsóapsa,dibrova,Ukraine,1946-2004
-1038290,Alsóapsa,dibrovo,,
-1038290,Alsóapsa,nizhna apsha,,
-1038290,Alsóapsa,nizhnyaya apsha,,
-1038290,Alsóapsa,apsia de diosu,,
-851851,"Alsódabas, Felsödabas",dabas,,
-851851,"Alsódabas, Felsödabas",alsódabas,,
-851851,"Alsódabas, Felsödabas",felsödabas,,
-851851,"Alsódabas, Felsödabas",gyón,,
-851851,"Alsódabas, Felsödabas",sári,,
-854445,"Alsógöd, Felsogöd",göd,,
-854445,"Alsógöd, Felsogöd",felsőgöd,,
-854445,"Alsógöd, Felsogöd",alsógöd,,
-1047857,Alsóhidegpatak,nyzhnii studenyi,,
-1047857,Alsóhidegpatak,alsóhidegpatak,,
-1047857,Alsóhidegpatak,nižný studený,,
-1047857,Alsóhidegpatak,nizhniy studenyy,,
-1047857,Alsóhidegpatak,studna,,
-1047857,Alsóhidegpatak,nižné studené,,
-1040672,Alsókálinfalva,kalyny,,
-1040672,Alsókálinfalva,kaliny,"Czech, Russia",
-1040672,Alsókálinfalva,alsókálinfalva,,
-1040672,Alsókálinfalva,kalin,,
-1040672,Alsókálinfalva,kalini,,
-844528,Alsókomárnok,nižný komárnik,,
-844528,Alsókomárnok,alsókomárnyik,,
-844528,Alsókomárnok,alsókomárnok,,
-844528,Alsókomárnok,nižní komárnik,,
-844528,Alsókomárnok,nižnyj komarnik,,
-844525,Alsókörtvélyes,nižný hrušov,,
-844525,Alsókörtvélyes,alsókörtvélyes,,
-844525,Alsókörtvélyes,nižní hrušov,,
-1154843,Alsókosály,căşeiu,,
-1154843,Alsókosály,alsókosály,,
-1154843,Alsókosály,căşeiul,,
-1154843,Alsókosály,căşei,,
-841769,Alsókubin,dolný kubín,,
-841769,Alsókubin,alsókubin,,
-841769,Alsókubin,unterkubin,,
-841769,Alsókubin,alsó-kubin,,
-841769,Alsókubin,dolní kubín,,
-86737,Alsólendva,lendava,,
-86737,Alsólendva,alsólendva,,
-86737,Alsólendva,lindau,,
-86737,Alsólendva,lendva,,
-86737,Alsólendva,unter-limbach,,
-86737,Alsólendva,donja lendova,,
-86737,Alsólendva,donja lendava,,
-86737,Alsólendva,dolnja lendava,,
-79384,Alsómiholjácz,donji miholjac,,
-79384,Alsómiholjácz,alsómiholjácz,,
-79384,Alsómiholjácz,unter-miholtz,,
