code,id,name,lon,lat
KHR_ANN_DLYN,-1038019,Dolyns'ke,47.53333333,29.93333333
VLH_KVL_DLSK,-1038036,Dolsk,51.11666667,24.38333333
GLC_DLN_DLYN,-1038040,Dolyna,48.96666667,24.01666667
GLC_KLS_DLZH,-1038046,Dolzhka,49.16666667,24.48333333
KHR_ANN_DMNV,-1038055,Domanivka,47.63333333,30.98333333
EKT_BKH_DNTS,-1038078,Donetsk,48,37.8
GLC_NDW_DR,-1038094,Dora,48.46666667,24.58333333
BKV_KTZ_DRSH,-1038105,Doroshivtsi,48.58333333,25.88333333
VLH_NVG_DVBY,-1038130,Dovbysh,50.36666667,27.98333333
BKV_STR_DRCH,-1038159,Drachyntsi,48.31666667,25.7
MRM_MRM_DRHV,-1038165,Drahovo,48.23333333,23.55
GLC_DRH_DRHB,-1038184,Drohobych,49.35,23.5
MNS_MZY_DRZD,-1038195,Drozdin,51.65,27.23333333
VLH_VLD_ZHRV,-1038219,Zhuravnyky,50.43333333,24.68333333
VLH_VLD_DBCH,-1038229,Dubechne,51.55,24.36666667
VLH_DBN_DBN,-1038255,Dubno,50.41666667,25.75
KV_UMN_DBV,-1038275,Dubova,48.63333333,30.45
MRM_MRM_DBV,-1038279,Dubove,48.16666667,23.88333333
MRM_MRM_NYZH,-1038290,Nyzhnya Apsha,48,23.83333333
KRP_UNG_DBRY,-1038292,Dubrynychi,48.8,22.5
VLH_RVN_DBRV,-1038302,Dubrovytsia,51.56666667,26.56666667
GLC_PRZ_DNYV,-1038361,Dunayev,49.61666667,24.83333333
PDL_NV_DNYV,-1038366,Dunayivtsi,48.9,26.83333333
KRP_BRG_DSYN,-1038383,Dusyno,48.51666667,23.11666667
KRP_UGC_NVTL,-1038409,Nevetlenfolu,48.01666667,23
PDL_LTN_DYKV,-1038413,D'yakovtsy,49.38333333,27.88333333
KV_KV_DYMR,-1038422,Dymer,50.78333333,30.3
EKT_BKH_TRTS,-1038441,Toretsk,48.4,37.83333333
VLH_NVG_RMNV,-1038442,Romaniv,50.15,27.93333333
TRD_PRK_DZHN,-1038462,Dzhankoy,45.71666667,34.4
PDL_IMP_DZHR,-1038486,Dzhurin,48.68333333,28.3
GLC_KLM_DZHR,-1038490,Dzhurkiv,48.63333333,25.2
GLC_SNT_DZHR,-1038491,Dzhuriv,48.4,25.31666667
GLC_BBR_ZVNY,-1038501,Zvenyhorod,49.73333333,24.25
GLC_BHR_DZVY,-1038503,Dzvynyach,48.75,24.41666667
PDL_IMP_DZYH,-1038508,Dzyhivka,48.36666667,28.33333333
KV_BRD_DZYN,-1038512,Dzyun'kiv,49.45,29.45
MRM_UGC_FNCH,-1038536,Fanchykovo,48.11666667,22.95
KV_VSL_FSTV,-1038548,Fastiv,50.08333333,29.91666667
TRD_FDS_FDSY,-1038635,Feodosiya,45.03333333,35.38333333
KHR_TRS_ZKHR,-1038725,Zakharivka,47.33333333,29.75
PLT_GDC_HDCH,-1038742,Hadiach,50.36666667,34
GLC_STN_HLYC,-1038762,Halych,49.11666667,24.73333333
MRM_MRM_HNYC,-1038802,Hanychi,48.13333333,23.81666667
KRP_BRG_HT,-1038845,Hat,48.31666667,22.63333333
PDL_GSN_HYSY,-1038895,Haysyn,48.8,29.4
PDL_GSN_HYVR,-1038898,Hayvoron,48.35,29.85
PLT_ZLT_HLMZ,-1038915,Helmiaziv,49.81666667,31.83333333
TRD_MLT_HNCH,-1038918,Henichesk,46.18333333,34.76666667
MLD_DRH_HRTS,-1038957,Hertsa,48.15,26.25
BKV_STR_HLYN,-1039018,Hlynytsia,48.33333333,25.7
VLH_RVN_HLYN,-1039024,Hlynky,50.58333333,26.41666667
GLC_ZLK_HLYN,-1039037,Hlynsk,50.06666667,23.9
GLC_PRZ_HLYN,-1039042,Hlyniany,49.81666667,24.51666667
GLC_ZYD_HNZD,-1039103,Hnizdychiv,49.35,24.11666667
PDL_VNN_HNVN,-1039133,Hnivan,49.1,28.33333333
BSS_BND_LMBR,-1039154,Lambrivka,46.31666667,29.28333333
TRD_ALS_HLPR,-1039164,Hola Prystan',46.51666667,32.53333333
VLH_KVL_HLBY,-1039183,Holoby,51.08333333,25.01666667
GLC_ZLC_HLHR,-1039192,Holohory,49.75,24.71666667
PDL_BLT_HLSK,-1039208,Holoskove,48.16666667,30.45
PDL_BLT_HLVN,-1039211,Holovanivsk,48.38333333,30.46666667
KHR_ANN_HLT,-1039243,Holta,48.03333333,30.85
KRP_BRG_HLBY,-1039251,Holubyne,48.56666667,22.96666667
MRM_MRM_HLYT,-1039277,Holyatyn,48.65,23.43333333
GLC_DLN_HLYN,-1039281,Holyn,49.01666667,24.25
MRM_MRM_HRNC,-1039362,Horinchovo,48.26666667,23.43333333
GLC_CZR_HRSH,-1039368,Horishnya Vyhnanka,49.03333333,25.81666667
KV_RDM_HRNS,-1039397,Hornostaipil,51.06666667,30.25
GLC_HRD_HRDN,-1039416,Horodenka,48.66666667,25.5
VLH_LTS_HRDT,-1039421,Horodets,51.28333333,26.31666667
KV_CHR_HRDY,-1039430,Horodyshche,49.28333333,31.45
PDL_OLG_HRDK,-1039462,Horodkivka,48.38333333,28.7
GLC_HST_HRDN,-1039470,Horodnystya,49.18333333,26.11666667
VLH_NVG_HRDN,-1039472,Horodnytsya,50.8,27.31666667
CHR_GRD_HRDN,-1039476,Horodnya,51.88333333,31.6
GLC_GRD_HRDK,-1039483,Horodok,49.78333333,23.65
VLH_VLD_HRKH,-1039500,Horokhiv,50.5,24.76666667
VLH_RVN_HRYN,-1039533,Horynhrad,50.65,26.51666667
PDL_IMP_HRYS,-1039537,Horyshkivka,48.63333333,28.61666667
VLH_OST_HSHC,-1039539,Hoshcha,50.6,26.66666667
KV_KV_HSTM,-1039545,Hostomel,50.58333333,30.26666667
GLC_BHR_HRBV,-1039563,Hrabovets,48.75,24.61666667
PLT_KRM_HRDY,-1039586,Hradyzk,49.21666667,33.11666667
VLH_LTS_HRDY,-1039591,Hradysk,51.38333333,25.33333333
PDL_GSN_HRNV,-1039604,Hraniv,48.86666667,29.56666667
KV_VSL_HRBN,-1039617,Hrebinky,49.95,30.2
GLC_SKL_HRYM,-1039714,Hrymayliv,49.33333333,26.03333333
VLH_ZSL_HRTS,-1039744,Hritsiv,49.96666667,27.21666667
MRM_MRM_HRSH,-1039803,Hrushovo,48,23.76666667
KRP_BRG_HKLY,-1039883,Huklyvyy,48.7,23.23333333
VLH_LTS_HLVK,-1039887,Hulivka,51.25,25.21666667
EKT_ALK_HLYY,-1039899,Hulyaypole,47.66666667,36.25
GLC_MSC_HSKV,-1039939,Husakiv,49.71666667,23
GLC_HST_HSYT,-1039957,Husyatyn,49.06666667,26.21666667
PDL_PRS_HVRD,-1040024,Hvardis'ke,49.31666667,26.71666667
GLC_KLM_HVZD,-1040028,Hvizdets,48.58333333,25.28333333
CHR_GLK_HLKH,-1040039,Hlukhiv,51.68333333,33.91666667
EKT_BKH_HRLV,-1040044,Horlivka,48.3,38.05
PDL_KMN_HRDK,-1040045,Horodok,49.16666667,26.56666667
CHR_BRZ_ICHN,-1040053,Ichnia,50.86666667,32.4
EKT_NVM_IHRN,-1040070,Ihren',48.46666667,35.2
KV_LPV_ILLN,-1040102,Illintsi,49.11666667,29.2
KRP_BRG_ILNY,-1040116,Ilnytsya,48.35,23.08333333
KRP_BRG_IMST,-1040188,Imstychovo,48.3,23.18333333
KHR_KHR_INHL,-1040197,Inhulets,47.73333333,33.25
PDL_BLT_YSYP,-1040217,Yosypivka,48.25,30.78333333
KRP_UNG_IRLY,-1040231,Irlyava,48.51666667,22.58333333
KRP_BRG_IRSH,-1040239,Irshava,48.31666667,23.05
PDL_GSN_IVNH,-1040289,Ivanhorod,48.8,29.78333333
KV_UMN_IVNK,-1040299,Ivan'ky,48.98333333,30.45
KV_RDM_IVNK,-1040309,Ivankov,50.93333333,29.9
GLC_STN_IVNF,-1040327,Ivano Frankivsk,48.91666667,24.7
VLH_ZHT_IVNP,-1040333,Ivanopil',49.85,28.21666667
KRP_BRG_YNSH,-1040385,Yanoshi,48.25,22.63333333
VLH_ZHT_IVNY,-1040476,Ivnytsia,50.15,29.05
MRM_MRM_IZ,-1040482,Iza,48.21666667,23.33333333
BSS_IZM_IZMY,-1040491,Izmayil,45.35,28.83333333
PDL_MGL_IZRL,-1040496,Izrailovka,48.53333333,27.73333333
VLH_ZSL_IZYS,-1040503,Izyaslav,50.11666667,26.8
KHR_IZM_IZYM,-1040507,Izyum,49.21666667,37.25
BKV_STR_KBSH,-1040516,Kabeshti,48.26666667,25.65
KV_RDM_KGNV,-1040546,Kaganovichi Vtoryye,51.28333333,29.68333333
KV_KV_KHRL,-1040548,Kaharlyk,49.85,30.83333333
TRD_ALS_KKHV,-1040555,Kakhovka,46.81666667,33.48333333
KHR_KHR_KLNN,-1040609,Kalininskoye,47.11666667,32.98333333
PDL_VNN_KLYN,-1040644,Kalynivka,49.46666667,28.53333333
MRM_MRM_KLYN,-1040672,Kalyny,48.13333333,23.88333333
KHR_ELZ_KLNY,-1040689,Kalnybolota,48.75,30.98333333
KRP_BRG_KLNK,-1040690,Kalnik,48.51666667,22.6
GLC_KLS_KLSH,-1040700,Kalush,49.01666667,24.36666667
PDL_NV_KLYS,-1040706,Kalyus,48.63333333,27.31666667
KV_CHR_KMYN,-1040747,Kamyanka,49.03333333,32.1
GLC_KMN_KMYN,-1040772,Kamyanka Buzka,50.1,24.35
VLH_KVL_KMNK,-1040774,Kamen Kashirskiy,51.63333333,24.96666667
GLC_SKL_KMYN,-1040778,Kam'yanky,49.55,26.01666667
VLH_NVG_KMYN,-1040807,Kamyanyi Brid,50.41666667,27.83333333
GLC_LWW_KMNP,-1040820,Kamianopil,49.86666667,24.16666667
KRP_BRG_KMYN,-1040834,Kamyanske,48.26666667,22.95
PDL_KMN_KMYN,-1040849,Kamyanets Podilskyy,48.66666667,26.56666667
KV_KNV_KNV,-1040899,Kaniv,49.75,31.46666667
VLH_KVL_KSHV,-1041127,Kashivka,51.16666667,25.35
KV_ZVN_KTRY,-1041165,Katerynopil,48.93333333,30.98333333
VLH_KRM_KTRY,-1041175,Katerynivka,50,25.88333333
