code,id,name,enc_name,enc_page
GLC_TRM_DRKH,-1037514,Darakhov,DARACHOW,292
KV_LPV_DSHV,-1037533,Dashiv,DASHEV,295
VLH_KVL_DTYN,-1037541,Datyn',,
BKV_KTZ_DVYD,-1037543,Davydivtsi,DAVIDESTI,298
GLC_KMN_DDYL,-1037569,Didyliv,,
VLH_OVR_DDKV,-1037570,Dedkovichi,DIDKOVICHI,309
KRP_BRG_DYYD,-1037574,Dyyda,,
MRM_MRM_DLV,-1037590,Dilove,TREBUSANY,1320
GLC_NDW_DLYT,-1037591,Delyatyn,DELATYN,300
VLH_DBN_DMYD,-1037610,Demydivka,DEMIDÓWKA,65
VLH_RVN_DRZH,-1037663,Derazhne,DERAZHNO,304
PDL_LTC_DRZH,-1037664,Derazhnya,DERAZHNYA,304
BKV_WZN_DKHT,-1037755,Dikhtinets,DIHTENETI,310
GLC_KMN_DMYT,-1037796,Dmytriv,,
KHR_ALK_DMYT,-1037811,Dmytrivka,,
CHR_KNT_DMYT,-1037824,Dmytrivka,DMITREVKA,314
EKT_EKT_DNPR,-1037863,Dniprodzerzhyns'k,DNEPRODZERZHINSK,314
EKT_EKT_DNPR2,-1037865,Dnipro,DNEPROPETROVSK,315
GLC_DBR_DBRM,-1037886,Dobromil,DOBROMIL,150
KRP_BRG_BN,-1037898,Bene,,
GLC_KMN_DBRT,-1037903,Dobrotvor,DOBROTWOR,318
KHR_ELZ_DBRV,-1037907,Dobrovelychkivka,DOBROVELYTCHKOVKA,318
KHR_KHR_DBR,-1037927,Dobre,DOBROE,317
CHR_GRD_DBRY,-103793,Dobryanka,DOBRIANKA,316
TRD_EVP_DBRS,-1037933,Dobrushyne,DOBRUSHINO,318
MRM_MRM_DBRY,-1037940,Dobryanskoye,NAGOVO,867
MRM_MRM_DVH,-1037987,Dovhe,DOVHE,327
GLC_DRH_DVH,-1037988,Dovhe,DOLHE PODBUSKIE,319
GLC_TRM_DLYN,-1038001,Dolyna,JANOW (II),560
KHR_ALK_DLYN,-1038013,Dolyns'ka,SHEVCHENKOVO,1170
KHR_ANN_DLYN,-1038019,Dolyns'ke,VALEGOTSULOVO,1373
VLH_KVL_DLSK,-1038036,Dolsk,,
GLC_DLN_DLYN,-1038040,Dolyna,DOLINA,320
GLC_KLS_DLZH,-1038046,Dolzhka,DOLZKA,320
KHR_ANN_DMNV,-1038055,Domanivka,DOMANEVKA,321
EKT_BKH_DNTS,-1038078,Donetsk,STALINO,1232
GLC_NDW_DR,-1038094,Dora,,
BKV_KTZ_DRSH,-1038105,Doroshivtsi,DOROSAUTI,324
VLH_NVG_DVBY,-1038130,Dovbysh,DOVBISH,327
BKV_STR_DRCH,-1038159,Drachyntsi,DRACINETI,328
MRM_MRM_DRHV,-1038165,Drahovo,DRAHOVO,328
GLC_DRH_DRHB,-1038184,Drohobych,DROHOBYCZ,333
MNS_MZY_DRZD,-1038195,Drozdin,,
VLH_VLD_ZHRV,-1038219,Zhuravnyky,DRUSZKOPOL,335
VLH_VLD_DBCH,-1038229,Dubechne,DUBECZNO (I),335
VLH_DBN_DBN,-1038255,Dubno,DUBNO,55
KV_UMN_DBV,-1038275,Dubova,DUBOVO,337
MRM_MRM_DBV,-1038279,Dubove,DUBOVE,337
MRM_MRM_NYZH,-1038290,Nyzhnya Apsha,NIZNI APSA,896
KRP_UNG_DBRY,-1038292,Dubrynychi,DOBRINICE,316
VLH_RVN_DBRV,-1038302,Dubrovytsia,DOMBROWICA,322
GLC_PRZ_DNYV,-1038361,Dunayev,DUNAJOW,345
PDL_NV_DNYV,-1038366,Dunayivtsi,,
KRP_BRG_DSYN,-1038383,Dusyno,DUSINA,348
KRP_UGC_NVTL,-1038409,Nevetlenfolu,,
PDL_LTN_DYKV,-1038413,D'yakovtsy,,
KV_KV_DYMR,-1038422,Dymer,DIMER,311
EKT_BKH_TRTS,-1038441,Toretsk,DZERZHINSK (II),349
VLH_NVG_RMNV,-1038442,Romaniv,ROMANOV,1089
TRD_PRK_DZHN,-1038462,Dzhankoy,DZHANKOY,349
PDL_IMP_DZHR,-1038486,Dzhurin,DZURIN,351
GLC_KLM_DZHR,-1038490,Dzhurkiv,DZURKOW,351
GLC_SNT_DZHR,-1038491,Dzhuriv,,
GLC_BBR_ZVNY,-1038501,Zvenyhorod,DZWINOGROD,351
GLC_BHR_DZVY,-1038503,Dzvynyach,,
PDL_IMP_DZYH,-1038508,Dzyhivka,DZYGOVKA,351
KV_BRD_DZYN,-1038512,Dzyun'kiv,DZIUNKOV,351
MRM_UGC_FNCH,-1038536,Fanchykovo,FANCIKOVO,378
KV_VSL_FSTV,-1038548,Fastiv,FASTOV,379
